species,troph,troph_se
gymnammodytes semisquamatus,2.68,0.3
helicolenus dactylopterus,3.8,0.58
istiophorus platypterus,4.5,0.79
istiophorus albicans,4.420000076293945,0.73
chanos chanos,2.4000000953674316,0.2
aphareus furca,4.14,0.73
labeo rohita,2.19,0.12
aphareus rutilans,4.11,0.57
aprion virescens,3.98,0.6
apsilus dentatus,4.08,0.52
apsilus fuscus,3.990000009536743,0.5843
etelis carbunculus,3.99,0.62
lamna nasus,4.36,0.69
acanthocybium solandri,4.420000076293945,0.92489999999999994
cetorhinus maximus,3.31,0.32
allothunnus fallai,3.77,0.67
acanthostracion quadricornis,3.77,0.32
auxis rochei,4.4,0.61
auxis thazard,4.360000133514404,0.7317
euthynnus affinis,4.47,0.8
euthynnus alletteratus,3.98,0.6
euthynnus lineatus,3.8299999237060547,0.6
alepisaurus ferox,4.39,0.98
gasterochisma melampus,4.35,0.57
alosa alosa,3.62,0.53
conger esculentus,4.5,0.8
grammatorcynus bicarinatus,4.5,0.8
grammatorcynus bilineatus,4.179999828338623,0.6904
alosa immaculata,3.930000066757202,0.6737000000000001
gymnosarda unicolor,4.5,0.75
katsuwonus pelamis,4.03,0.64
orcynopsis unicolor,4.5,0.8
rastrelliger brachysoma,2.72,0.31
rastrelliger faughni,3.4,0.45
rastrelliger kanagurta,3.190000057220459,0.3788
sarda australis,4.5,0.8
sarda chiliensis,4.5,0.72
sarda orientalis,4.210000038146973,0.6859000000000001
sarda sarda,4.34,0.83
scomber australasicus,4.079999923706055,0.55
scomber japonicus,3.42,0.46
scomber scombrus,3.73,0.57
scomberomorus brasiliensis,4.37,0.76
scomberomorus cavalla,4.43,0.77
scomberomorus commerson,4.380000114440918,0.74
scomberomorus guttatus,4.28,0.67
scomberomorus koreanus,4.21,0.74
scomberomorus lineolatus,4.5,0.8
scomberomorus maculatus,4.35,0.7
apogonichthyoides taeniatus,3.5,0.6
scomberomorus munroi,4.32,0.76
argyropelecus aculeatus,3.71,0.47
scomberomorus niphonius,4.47,0.76
scomberomorus plurilineatus,4.24,0.77
scomberomorus queenslandicus,4.389999866485596,0.7
scomberomorus regalis,4.38,0.73
scomberomorus semifasciatus,4.5,0.8
scomberomorus sierra,4.21,0.73
scomberomorus sinensis,4.5,0.8
somniosus microcephalus,4.32,0.85
squalus acanthias,4.5,0.99
scomberomorus tritor,4.26,0.74
thunnus alalunga,4.3,0.67
thunnus albacares,4.48,0.82
thunnus atlanticus,3.799999952316284,0.5586
thunnus maccoyii,3.930000066757202,0.5342
thunnus obesus,4.48,0.93
thunnus thynnus,4.21,0.8
thunnus tonggol,4.01,0.53
lutjanus guilcheri,3.65,0.54
lutjanus guttatus,3.83,0.66
lutjanus inermis,3.83,0.57
lutjanus jocu,3.92,0.58
lutjanus jordani,4.02,0.64
lutjanus kasmira,3.78,0.56
lutjanus lemniscatus,3.98,0.65
lutjanus lunulatus,3.98,0.66
lutjanus lutjanus,4.05,0.68
lutjanus mahogoni,3.98,0.6
lutjanus malabaricus,4.09,0.6
lutjanus monostigma,4.27,0.74
callorhinchus capensis,3.45,0.52
lutjanus notatus,4,0.66
lutjanus novemfasciatus,4.1,0.72
lutjanus peru,4.02,0.62
lutjanus purpureus,3.85,0.55
lutjanus quinquelineatus,4.02,0.69
lutjanus rivulatus,4.13,0.63
elops saurus,4.11,0.71
lutjanus russellii,3.799999952316284,0.6332
lutjanus sebae,3.86,0.62
lutjanus semicinctus,4.05,0.68
lutjanus stellatus,4.01,0.66
lutjanus synagris,3.66,0.8
lutjanus timoriensis,4.01,0.66
lutjanus viridis,4.16,0.74
lutjanus vitta,3.740000009536743,0.5896
lutjanus vivanus,3.67,0.49
macolor macularis,3.97,0.65
macolor niger,4.01,0.66
ocyurus chrysurus,3.88,0.54
paracaesio caerulea,3.4,0.45
paracaesio kusakarii,4.01,0.66
paracaesio sordida,2.75,0.31
paracaesio stonei,4.01,0.66
paracaesio xanthura,3.4,0.45
pinjalo pinjalo,3.45,0.41
pristipomoides aquilonaris,4.5,0.8
pristipomoides argyrogrammicus,4.18,0.57
pristipomoides auricilla,3.57,0.48
pristipomoides filamentosus,3.609999895095825,0.47009999999999996
pristipomoides flavipinnis,3.6,0.51
boops boops,3.11,0.23
sarpa salpa,2.14,0.14
pristipomoides macrophthalmus,3.87,0.56
bothus podas,3.369999885559082,0.4725
pristipomoides multidens,3.84,0.58
pristipomoides sieboldii,3.71,0.5
pristipomoides typus,4.2,0.61
pristipomoides zonatus,3.84,0.54
rhomboplites aurorubens,3.8,0.56
symphorichthys spilurus,3.8,0.56
symphorus nematophorus,4.18,0.71
makaira nigricans,4.389999866485596,0.6259
istiompax indica,4.46999979019165,0.7903
makaira mazara,4.46,0.89
kajikia albida,4.460000038146973,0.8393999999999999
tetrapturus pfluegeri,4.5,0.75
kajikia audax,4.5,0.77
callionymus filamentosus,3.27,0.39
xiphias gladius,4.5,0.5
megalops cyprinoides,3.9100000858306885,0.6431999999999999
albula vulpes,3.66,0.56
nemoossis belloci,3.03,0.17
alepocephalus bairdii,3.69,0.54
coregonus albula,3.059999942779541,0.17
coregonus lavaretus,3.1500000953674316,0.34
coregonus oxyrinchus,3.25,0.25
coregonus clupeaformis,3.430000066757202,0.44
coregonus artedi,3.35,0.4
salmo salar,3.86,0.81
salmo trutta,3.5325000166893004,1.1756514151737325
oncorhynchus mykiss,3.53,0.63
oncorhynchus gorbuscha,3.39,0.57
oncorhynchus keta,3.54,0.41
oncorhynchus masou,3.6,0.59
oncorhynchus nerka,3.23,0.35
oncorhynchus tshawytscha,3.83,0.67
oncorhynchus kisutch,4.18,0.7
salvelinus fontinalis,3.74,0.56
salvelinus alpinus,3.4600000381469727,0.68
centrolophus niger,3.92,0.38
schedophilus ovalis,3.54,0.47
plecoglossus altivelis,2.78,0.16
mallotus villosus,3.19,0.4
osmerus mordax,3.44,0.51
hypomesus olidus,2.92,0.26
hypomesus pretiosus,3.430000066757202,0.41340000000000005
thaleichthys pacificus,3.25,0.37
glossanodon semifasciatus,3.14,0.34
lampanyctodes hectoris,3.16,0.24
harpadon nehereus,4.08,0.74
lutjanus fulviflamma,3.85,0.62
lutjanus fulvus,3.66,0.55
lutjanus johnii,4.19,0.56
lutjanus gibbus,3.630000114440918,0.5149
lutjanus griseus,3.88,0.79
abramis brama,3.1500000953674316,0.5281
tinca tinca,3.27,0.46
carassius carassius,3.11,0.24
carassius auratus,2.86,0.31
rutilus rutilus,2.87,0.31
hypophthalmichthys molitrix,2,0
hypophthalmichthys nobilis,2.83,0.33
notemigonus crysoleucas,2.62,0.24
pelecus cultratus,3.56,0.53
galeichthys feliceps,3.5,0.5
silurus glanis,4.12,0.72
pangasius pangasius,3.44,0.51
anguilla japonica,3.55,0.51
anguilla rostrata,3.62,0.54
anguilla australis,3.42,0.59
muraenesox cinereus,4.38,0.67
conger orbignianus,3.72,0.59
conger oceanicus,4,0.66
conger conger,4.26,0.76
conger myriaster,3.98,0.68
cololabis saira,3.71,0.44
hyporhamphus sajori,3.4,0.45
salilota australis,4.12,0.71
gadus macrocephalus,4.47,1.07
lota lota,4.05,0.81
urophycis brasiliensis,3.94,0.68
urophycis chuss,3.73,0.58
urophycis tenuis,3.25,0.45
eleginus nawaga,4.24,0.73
eleginus gracilis,3.78,0.56
microgadus tomcod,3.81,0.5
gadus chalcogrammus,3.680000066757202,0.62
boreogadus saida,3.27,0.5
micromesistius australis,3.34,0.48
merluccius senegalensis,4.5,0.8
merluccius australis,4.45,0.79
merluccius bilinearis,4.23,0.71
merluccius hubbsi,4.23,0.67
merluccius productus,3.9800000190734863,0.69
merluccius polli,4.5,0.63
macruronus magellanicus,3.93,0.6
macrourus berglax,3.81,0.46
coryphaenoides rupestris,3.66,0.57
macroramphosus scolopax,3.47,0.4
hoplostethus atlanticus,4.050000190734863,0.7615999999999999
zenopsis conchifer,4.17,0.71
joturus pichardi,2.91,0.37
eleutheronema tetradactylum,4.11,0.7
galeoides decadactylus,3.57,0.67
pentanemus quinquarius,3.56,0.57
channa striata,3.57,0.47
centropomus undecimalis,4.08,0.7
lates calcarifer,3.8299999237060547,0.6
epinephelus analogus,3.84,0.64
polyprion americanus,4.14,0.64
polyprion oxygeneios,4.45,0.77
acanthistius brasilianus,4.01,0.71
paralabrax humeralis,3.87,0.57
morone saxatilis,4.47,1.08
morone americana,3.14,0.35
priacanthus macracanthus,4.11,0.6
synagrops japonicus,4.27,0.73
perca fluviatilis,3.66,0.58
perca flavescens,3.36,0.47
sander lucioperca,4.04,0.78
centropristis striata,3.66,0.61
lopholatilus chamaeleonticeps,3.5,0.6
lactarius lactarius,3.97,0.57
pomatomus saltatrix,4.08,0.0113
trachurus japonicus,3.4,0.45
trachurus murphyi,3.49,0.48
trachurus symmetricus,3.819999933242798,0.52
trachurus lathami,3.27,0.34
exyrias belissimus,2.79,0.3
trachurus trecae,3.49,0.38
trachurus declivis,3.93,0.61
decapterus russelli,3.5199999809265137,0.5329999999999999
exyrias puntang,3.5,0.37
selene setapinnis,3.72,0.52
selene dorsalis,4.08,0.69
trachinotus carolinus,3.85,0.61
seriola quinqueradiata,3.96,0.65
seriola lalandi,3.85,0.49
megalaspis cordyla,3.91,0.64
chloroscombrus chrysurus,3.53,0.44
parona signata,3.4,0.45
selar crumenophthalmus,3.57,0.5
selaroides leptolepis,3.609999895095825,0.5043
mene maculata,3.45,0.41
brama brama,4.08,0.64
arripis georgianus,4.31,0.76
dicentrarchus punctatus,3.94,0.65
emmelichthys nitidus,3.44,0.41
nemipterus virgatus,3.99,0.57
isacia conceptionis,2.91,0.39
plectorhinchus mediterraneus,3.49,0.52
pomadasys argenteus,3.6,0.59
brachydeuterus auritus,3.03,0.44
conodon nobilis,3.05,0.43
sillaginopsis panijus,3.27,0.47
cynoscion analis,3.79,0.6
cynoscion nebulosus,3.98,0.66
cynoscion regalis,4.01,0.68
micropogonias undulatus,4,0.5
menticirrhus littoralis,3.29,0.45
elagatis bipinnulata,3.59,0.49
umbrina canosai,3.85,0.57
larimichthys polyactis,3.64,0.63
macrodon ancylodon,3.9,0.65
argyrosomus regius,4.29,0.75
argyrosomus hololepidotus,3.82,0.53
atractoscion aequidens,4.5,0.8
genyonemus lineatus,3.43,0.49
pteroscion peli,3.56,0.5
paralonchurus peruanus,2.64,0.21
pogonias cromis,3.78,0.53
epinephelus aeneus,4.02,0.59
nibea mitsukurii,3.5,0.37
larimichthys crocea,3.72,0.56
pseudotolithus senegalensis,3.79,0.71
pseudotolithus elongatus,4.06,0.7
pennahia argentata,3.74,0.61
anchoa januaria,2.88,0.24
pagellus bellottii,3.6,0.59
pagellus natalensis,3.34,0.39
dentex macrophthalmus,3.45,0.44
dentex dentex,4.5,0.6
dentex angolensis,3.52,0.48
archosargus probatocephalus,3.53,0.53
argyrops spinifer,3.71,0.36
cheimerius nufar,4.18,0.6
pagrus major,3.45,0.62
petrus rupestris,4.5,0.61
pterogymnus laniarius,3.59,0.46
rhabdosargus globiceps,3.28,0.43
lithognathus lithognathus,2.8,0.34
stenotomus chrysops,3.57,0.38
pseudupeneus prayensis,3.24,0.41
drepane punctata,3.32,0.42
drepane africana,3.1,0.41
lebetus scorpioides,3.24,0.41
cichla ocellaris,4.5,0.8
tautoga onitis,3.319999933242798,0.4727
nemadactylus bergi,3.45,0.41
cheilodactylus variegatus,3.35,0.53
arctoscopus japonicus,3.51,0.53
percophis brasiliensis,4.17,0.56
eleginops maclovinus,3.51,0.41
dissostichus eleginoides,4.36,0.66
notothenia rossii,3.61,0.56
pleuragramma antarctica,3.32,0.44
chaenocephalus aceratus,3.96,0.65
champsocephalus gunnari,3.49,0.53
pseudochaenichthys georgianus,3.83,0.59
chionodraco rastrospinosus,3.85,0.62
channichthys rhinoceratus,3.25,0.54
chaenodraco wilsoni,3.38,0.47
zoarces viviparus,3.47,0.49
zoarces americanus,3.36,0.41
trisopterus minutus,3.67,0.78
genypterus blacodes,4.18,0.76
genypterus chilensis,3.92,0.74
genypterus capensis,4.44,0.61
thyrsites atun,4.19,0.68
thyrsitops lepidopoides,3.86,0.63
pampus argenteus,3.23,0.42
peprilus triacanthus,3.68,0.45
anabas testudineus,2.76,0.32
hyperoglyphe antarctica,3.95,0.57
psenopsis anomala,4,0.28
osphronemus goramy,2.76,0.32
sebastes norvegicus,4.04,0.68
sebastes entomelas,3.29,0.36
sebastes flavidus,3.51,0.39
sebastes alutus,3.62,0.52
sebastes mentella,4.19,0.61
sebastes capensis,3.79,0.82
chelidonichthys kumu,3.68,0.57
ophiodon elongatus,4.3,0.78
anoplopoma fimbria,4.12,0.85
psettodes erumei,4.34,0.74
hippoglossus stenolepis,3.92,0.68
reinhardtius hippoglossoides,4.35,0.99
atheresthes stomias,4.05,0.72
atheresthes evermanni,4.5,0.62
hippoglossoides elassodon,3.46,0.53
limanda aspera,3.66,0.51
limanda ferruginea,3.03,0.14
pseudopleuronectes americanus,3.08,0.54
solea solea,3.299999952316284,0.6585
dicologlossa cuneata,3.32,0.49
austroglossus microlepis,3.48,0.45
austroglossus pectoralis,4.03,0.63
scophthalmus rhombus,4.22,0.92
stephanolepis cirrhifer,2.84,0.39
anchoa parva,3.4,0.45
anchoa spinifer,4.09,0.71
anchovia clupeoides,3.4,0.45
anchovia macrolepidota,2.69,0.3
anchoa mitchilli,3.46,0.5
cetengraulis edentulus,2.11,0.07
cetengraulis mysticetus,2.4700000286102295,0.2102
pterengraulis atherinoides,3.88,0.67
lycengraulis batesii,3.85,0.62
lycengraulis grossidens,3.67,0.67
lycengraulis poeyi,4.2,0.73
encrasicholina devisi,3.65,0.51
encrasicholina heteroloba,3.59,0.49
encrasicholina purpurea,3.1,0.3
stolephorus commersonnii,3.05,0.2
stolephorus indicus,3.84,0.58
labrus bergylta,3.32,0.47
thryssa baelama,2.89,0.26
thryssa dussumieri,2.82,0.21
thryssa hamiltonii,3.45,0.51
thryssa kammalensis,3.29,0.23
thryssa mystax,4,0.5
thryssa purava,3.549999952316284,0.4972
thryssa scratchleyi,4.2,0.73
thryssa setirostris,3.32,0.48
lycothrissa crocodilus,3.7100000381469727,0.5889
papuengraulis micropinna,3.4,0.45
setipinna melanochir,3.88,0.63
setipinna phasa,3.25,0.39
setipinna taty,3.46,0.5
setipinna tenuifilis,3.6,0.51
lampanyctus alatus,3.22,0.32
lampanyctus crocodilus,3.22,0.39
ceratoscopelus maderensis,3.27,0.38
lampanyctus pusillus,3.4,0.45
coilia dussumieri,3.299999952316284,0.39490000000000003
coilia lindmani,3.74,0.58
coilia macrognathos,3.72,0.58
coilia mystus,3.26,0.39
coilia nasus,3,0
coilia reynaldi,3.3499999046325684,0.46
chlamydoselachus anguineus,4.5,0.41
heptranchias perlo,4.27,0.64
hexanchus griseus,4.42,0.71
hexanchus nakamurai,3.98,0.65
lepadogaster candolii,2.78,0.26
echinorhinus brucus,4.5,0.8
echinorhinus cookei,4.39,0.76
lepidopus caudatus,4.12,0.79
aphanopus carbo,4.48,0.77
centrophorus granulosus,4.5,0.8
centrophorus lusitanicus,4.43,0.63
centrophorus moluccensis,4.33,0.7
centrophorus squamosus,4.4,0.69
centrophorus uyato,4.5,0.6
centroscyllium fabricii,4.13,0.61
centroscyllium nigrum,3.88,0.56
centroscymnus coelolepis,4.19,0.57
centroscymnus crepidater,4.5,0.6
centroscymnus owstonii,4.5,0.62
centroscymnus plunketi,4.5,0.59
cirrhigaleus barbifer,3.99,0.61
dalatias licha,4.3,0.82
deania calcea,4.36,0.69
deania profundorum,4.5,0.61
deania quadrispinosa,4.5,0.8
etmopterus brachyurus,4.29,0.66
etmopterus gracilispinis,4.28,0.56
etmopterus granulosus,4.17,0.65
etmopterus hillianus,4.5,0.8
etmopterus lucifer,4.5,0.61
etmopterus pusillus,4.38,0.62
etmopterus spinax,4.24,0.58
etmopterus virens,4.2,0.73
lichia amia,4.32,0.77
limanda limanda,3.39,0.64
isistius brasiliensis,3.8,0.31
zameus squamulosus,3.97,0.6
squaliolus laticaudus,4.199999809265137,0.73
lithognathus mormyrus,3.42,0.5
cirrhigaleus asper,4.5,0.62
squalus blainville,4.04,0.58
squalus megalops,4.24,0.71
squalus melanurus,4.5,0.8
squalus mitsukurii,4.35,0.8
oxynotus bruniensis,4.03,0.62
lophius piscatorius,4.55,0.65
oxynotus caribbaeus,4.03,0.62
oxynotus centrina,3.061,0.26
oxynotus paradoxus,3.97,0.6
pliotrema warreni,4.14,0.64
pristiophorus cirratus,4.17,0.71
pristiophorus japonicus,3.84,0.58
squatina aculeata,4.14,0.7
squatina argentina,3.4,0.45
squatina australis,3.99,0.66
squatina californica,4.24,0.61
squatina dumeril,3.7,0.56
squatina japonica,3.5,0.37
squatina oculata,4.5,0.8
squatina squatina,4.07,0.68
squatina tergocellata,4.45,0.62
heterodontus francisci,3.6,0.54
heterodontus galeatus,3.67,0.53
heterodontus japonicus,3.62,0.53
heterodontus mexicanus,4.15,0.73
heterodontus portusjacksoni,3.45,0.48
heterodontus quoyi,3.54,0.5
heterodontus ramalheira,3.5,0.6
heterodontus zebra,4.01,0.66
carcharias taurus,4.44,0.82
odontaspis ferox,4.16,0.56
carcharodon carcharias,4.48,0.68
isurus oxyrinchus,4.32,0.78
isurus paucus,4.5,0.8
maurolicus muelleri,3.25,0.34
lamna ditropis,4.5,0.8
eucrossorhinus dasypogon,3.98,0.6
orectolobus japonicus,3.82,0.57
orectolobus maculatus,4.23,0.64
orectolobus ornatus,3.98,0.6
orectolobus wardi,4,0.61
apristurus brunneus,4.02,0.49
apristurus microps,4.26,0.66
apristurus nasutus,3.1,0.3
apristurus profundorum,3.95,0.57
apristurus saldanha,4.5,0.62
mugil cephalus,2.48,0.17
asymbolus vincenti,4.5,0.8
mullus barbatus,3.24,0.44
cephaloscyllium laticeps,3.89,0.32
cephaloscyllium sufflans,4.24,0.61
cephaloscyllium ventriosum,3.86,0.61
galeus arae,3.6,0.59
figaro boardmani,4.15,0.56
galeus eastmani,3.84,0.66
galeus melastomus,3.48,0.74
galeus nipponensis,4.17,0.0105
galeus polli,4.5,0.67
bythaelurus canescens,4.09,0.51
bythaelurus dawsoni,3.39,0.53
bythaelurus hispidus,4.18,0.58
halaelurus lineatus,4.5,0.6
bythaelurus lutarius,4.17,0.56
halaelurus natalensis,3.89,0.59
haploblepharus edwardsii,3.9,0.63
haploblepharus fuscus,4.04,0.63
haploblepharus pictus,4.19,0.59
holohalaelurus punctatus,4.17,0.61
holohalaelurus regani,4.130000114440918,0.6345000000000001
parmaturus xaniurus,3.88,0.58
poroderma africanum,3.94,0.54
poroderma pantherinum,4.06,0.57
schroederichthys bivius,3.85,0.62
schroederichthys maculatus,4.35,0.57
notoscopelus elongatus,3.4,0.45
scyliorhinus canicula,3.67,0.59
scyliorhinus capensis,3.95,0.56
scyliorhinus cervigoni,4.5,0.8
oblada melanura,3.38,0.35
scyliorhinus stellaris,3.6,0.59
scyliorhinus torazame,3.87,0.61
carcharhinus acronotus,4.5,0.8
carcharhinus albimarginatus,4.48,0.77
carcharhinus altimus,4.5,0.75
carcharhinus amblyrhynchos,4.5,0.74
carcharhinus amboinensis,4.29,0.65
carcharhinus brachyurus,4.5,0.78
carcharhinus brevipinna,4.5,0.7848999999999999
carcharhinus cautus,4.17,0.74
carcharhinus dussumieri,4.5,0.8
carcharhinus falciformis,4.48,0.86
carcharhinus galapagensis,4.34,0.77
carcharhinus hemiodon,4.18,0.58
carcharhinus isodon,4.27,0.75
carcharhinus leucas,4.34,0.84
carcharhinus limbatus,4.46,0.77
carcharhinus longimanus,4.39,0.74
carcharhinus macloti,4.18,0.59
carcharhinus melanopterus,4.33,0.67
carcharhinus obscurus,4.42,0.76
carcharhinus perezii,4.5,0.8
carcharhinus plumbeus,4.23,0.72
carcharhinus porosus,4.36,0.8
carcharhinus sealei,4.21,0.61
carcharhinus signatus,4.5,0.73
carcharhinus sorrah,4.31,0.59
galeocerdo cuvier,4.42,0.91
pagellus acarne,3.74,0.6
pagellus bogaraveo,3.73,0.56
isogomphodon oxyrhynchus,4.5,0.8
lamiopsis temminckii,3.99,0.61
pagellus erythrinus,3.46,0.46
loxodon macrorhinus,4.29,0.68
nasolamia velox,4.18,0.74
negaprion brevirostris,3.93,0.59
prionace glauca,4.37,0.83
rhizoprionodon acutus,4.09,0.55
rhizoprionodon lalandii,4.28,0.65
rhizoprionodon oligolinx,4.14,0.55
rhizoprionodon porosus,4,0.66
rhizoprionodon taylori,4.37,0.74
rhizoprionodon terraenovae,4.5,0.8
scoliodon laticaudus,4.11,0.66
triaenodon obesus,4.36,0.75
sphyrna couardi,4.5,0.54
sphyrna lewini,4.210000038146973,0.6833
sphyrna mokarran,4.43,0.81
sphyrna tiburo,3.77,0.59
sphyrna zygaena,4.4,0.8
caesio caerulaurea,3.4,0.45
caesio cuning,3.4,0.45
caesio lunaris,3.4,0.45
caesio striata,3.4,0.45
caesio suevica,3.4,0.45
caesio teres,3.4,0.45
caesio varilineata,3.4,0.45
anchoa marinii,3.4,0.45
caesio xanthonota,3.4,0.45
dipterygonotus balteatus,3.4,0.45
gymnocaesio gymnoptera,3.4,0.45
pterocaesio capricornis,3.4,0.45
pterocaesio chrysozona,3.4,0.45
pterocaesio digramma,3.39,0.48
pterocaesio lativittata,3.4,0.45
pterocaesio marri,3.4,0.45
pterocaesio pisang,3.4,0.45
pterocaesio randalli,3.4,0.45
pterocaesio tessellata,3.4,0.45
pterocaesio tile,3.33,0.33
hemitrygon akajei,3.84,0.58
atrobucca nibe,3.96,0.69
acanthurus tractus,2,0
acanthurus chirurgus,2.74,0.28
acanthurus coeruleus,2.15,0
ariopsis felis,4.5,0.8
sciades couma,3.440000057220459,0.5708
platycephalus indicus,4.22,0.74
sciades herzbergii,3.28,0.39
sciades parkeri,3.74,0.64
sciades proops,3.819999933242798,0.7554000000000001
aspistor quadriscutis,3.5,0.37
amphiarius rugispinis,3.33,0.48
bagre bagre,4.01,0.66
bagre marinus,3.88,0.67
cathorops spixii,3.46,0.49
ariomma bondi,3.5,0.5
ariomma regulus,3.4,0.45
pseudauchenipterus nodosus,2,0
aulostomus maculatus,4.44,0.79
melichthys niger,2.73,0.3
amphichthys cryptocentrus,3.78,0.38
batrachoides manglae,3.44,0.54
batrachoides surinamensis,3.66,0.62
ablennes hians,4.5,0.8
platybelone argalus,4.5,0.8
strongylura marina,3.78,0.59
strongylura timucu,4.5,0.8
tylosurus acus,4.12,0.69
tylosurus crocodilus,4.25,0.71
bothus lunatus,4.13,0.61
paralichthys lethostigma,3.4800000190734863,0.48
caulolatilus chrysops,3.62,0.51
caulolatilus cyanops,4.01,0.61
caulolatilus intermedius,3.84,0.59
caulolatilus microps,3,0
alectis ciliaris,3.46,0.48
decapterus macarellus,3.24,0.38
decapterus punctatus,3.26,0.43
decapterus tabl,3.22,0.32
naucrates ductor,3.41,0.43
oligoplites palometa,4.16,0.67
oligoplites saliens,3.83,0.62
oligoplites saurus,3.53,0.52
pseudocaranx dentex,3.66,0.5
selene vomer,3.67,0.59
seriola dumerili,4.06,0.62
seriola fasciata,4.5,0.62
seriola rivoliana,4.5,0.78
seriola zonata,4.5,0.62
trachinotus falcatus,3.5,0.55
centropomus ensiferus,4.18,0.62
centropomus parallelus,4.21,0.74
centropomus pectinatus,4.03,0.67
centropomus poeyi,3.98,0.66
symphurus diomedeanus,3.29,0.46
symphurus plagiusa,3.2,0.4
dactylopterus volitans,3.68,0.58
diodon hystrix,3.61,0.56
trisopterus esmarkii,3.73,0.65
chaetodipterus faber,3.5,0.47
cheilopogon exsiliens,3.03,0.08
cheilopogon furcatus,3.96,0.65
cheilopogon heterurus,3.4,0.45
exocoetus volitans,3.03,0.09
hirundichthys speculiger,3.03,0.08
parexocoetus brachypterus,3.4,0.45
gempylus serpens,4.35,0.7
lepidocybium flavobrunneum,4.34,0.67
sardinella aurita,3.04,0.34
ruvettus pretiosus,4.18,0.57
sardinella maderensis,3.2,0.38
diapterus rhombeus,3.06,0.37
eucinostomus argenteus,3.32,0.45
eucinostomus gula,3.13,0.37
eucinostomus havana,3.5,0.37
eucinostomus melanopterus,3.39,0.52
eugerres plumieri,3.29,0.4
gerres cinereus,3.2,0.35
saurida undosquamis,4.25,0.7851
rypticus saponaceus,4,0.61
hemiramphus balao,3.71,0.55
hemiramphus brasiliensis,2.8,0.41
hyporhamphus unifasciatus,2.990000009536743,0.3075
holocentrus adscensionis,3.4,0.49
holocentrus rufus,3.49,0.54
myripristis jacobus,3.63,0.57
bodianus pulchellus,3.55,0.48
bodianus rufus,3.43,0.44
halichoeres radiatus,3.5,0.37
lutjanus fulgens,4,0.6614
lampris guttatus,4.22,0.62
lobotes surinamensis,4.16,0.78
lophius gastrophysus,4.5,0.8
megalops atlanticus,3.61,0.57
merluccius albidus,4.47,0.0104
aluterus schoepfii,4,0.28
cantherhines pullus,2.9,0.17
scomberesox saurus,3.69,0.47
dajaus monticola,2.98,0.4
mugil curema,2.42,0.22
mugil curvidens,2,0
mugil incilis,2,0
mugil liza,2,0
mulloidichthys martinicus,3.5,0.37
pseudupeneus maculatus,3.37,0.39
upeneus parvus,4.05,0.7
cynoponticus savanna,3.5,0.37
channomuraena vittata,4,0.66
gymnothorax ocellatus,4.08,0.71
gymnothorax miliaris,3.87,0.63
