species,value,trait
acipenser fulvescens,26.30203238897681,age to maturity
acipenser fulvescens,21.041625911181445,age to maturity
acipenser gueldenstaedtii,6.980045084645408,age to maturity
acipenser gueldenstaedtii,10.470067626968111,age to maturity
acipenser gueldenstaedtii,11.168072135432652,age to maturity
acipenser gueldenstaedtii,9.07405861003903,age to maturity
acipenser naccarii,8.37605410157449,age to maturity
acipenser naccarii,5.584036067716326,age to maturity
acipenser nudiventris,15.781219433386084,age to maturity
acipenser nudiventris,7.890609716693042,age to maturity
acipenser nudiventris,15.356099186219897,age to maturity
acipenser nudiventris,10.470067626968111,age to maturity
acipenser oxyrinchus,20.940135253936223,age to maturity
acipenser oxyrinchus,19.54412623700714,age to maturity
acipenser oxyrinchus,8.37605410157449,age to maturity
acipenser oxyrinchus,13.960090169290815,age to maturity
acipenser oxyrinchus,23.732153287794386,age to maturity
acipenser oxyrinchus,6.282040576180867,age to maturity
acipenser oxyrinchus,13.262085660826274,age to maturity
acipenser oxyrinchus,19.54412623700714,age to maturity
acipenser oxyrinchus,8.37605410157449,age to maturity
acipenser persicus,12.564081152361734,age to maturity
acipenser persicus,10.470067626968111,age to maturity
acipenser ruthenus,7,age to maturity
acipenser ruthenus,3.490022542322704,age to maturity
acipenser ruthenus,4.886031559251785,age to maturity
acipenser ruthenus,3.490022542322704,age to maturity
acipenser ruthenus,3.490022542322704,age to maturity
acipenser ruthenus,2.792018033858163,age to maturity
acipenser ruthenus,6.282040576180867,age to maturity
acipenser ruthenus,5.584036067716326,age to maturity
acipenser ruthenus,3.490022542322704,age to maturity
acipenser schrenckii,6.980045084645408,age to maturity
acipenser schrenckii,9.77206311850357,age to maturity
acipenser schrenckii,6.980045084645408,age to maturity
acipenser schrenckii,6.980045084645408,age to maturity
acipenser schrenckii,11,age to maturity
acipenser schrenckii,8.37605410157449,age to maturity
acipenser schrenckii,6.980045084645408,age to maturity
acipenser schrenckii,5.584036067716326,age to maturity
acipenser sinensis,18.14811722007806,age to maturity
acipenser sinensis,12.564081152361734,age to maturity
acipenser stellatus,9.77206311850357,age to maturity
acipenser stellatus,6.980045084645408,age to maturity
acipenser stellatus,4.886031559251785,age to maturity
acipenser stellatus,9.77206311850357,age to maturity
acipenser stellatus,8.37605410157449,age to maturity
acipenser sturio,9.77206311850357,age to maturity
acipenser sturio,18.411422672283766,age to maturity
acipenser sturio,6.282040576180867,age to maturity
acipenser sturio,14.466117813937243,age to maturity
acipenser sturio,13.960090169290815,age to maturity
acipenser sturio,10.470067626968111,age to maturity
acipenser sturio,11,age to maturity
acipenser sturio,11.168072135432652,age to maturity
acipenser sturio,8.37605410157449,age to maturity
acipenser sturio,9.77206311850357,age to maturity
acipenser sturio,7.678049593109948,age to maturity
acipenser sturio,12.564081152361734,age to maturity
acipenser sturio,9.07405861003903,age to maturity
acipenser transmontanus,23.732153287794386,age to maturity
acipenser transmontanus,15.356099186219897,age to maturity
acrocheilus alutaceus,2.792018033858163,age to maturity
acrocheilus alutaceus,3.945304858346521,age to maturity
acyrtops beryllinus,1.3151016194488403,age to maturity
aetobatus narinari,4.188027050787245,age to maturity
agonus cataphractus,1.3960090169290815,age to maturity
agonus cataphractus,2.792018033858163,age to maturity
albatrossia pectoralis,6.980045084645408,age to maturity
albatrossia pectoralis,6.282040576180867,age to maturity
albatrossia pectoralis,7.678049593109948,age to maturity
albatrossia pectoralis,10.470067626968111,age to maturity
albatrossia pectoralis,8.37605410157449,age to maturity
albula vulpes,1,age to maturity
albula vulpes,4.199999809265137,age to maturity
albula vulpes,3.5999999046325684,age to maturity
albula vulpes,4.199999809265137,age to maturity
albula vulpes,3.511321424262695,age to maturity
albula vulpes,3.5999999046325684,age to maturity
albula vulpes,3.511321424262695,age to maturity
alburnoides bipunctatus,2.6302032388976806,age to maturity
alburnoides taeniatus,2.6302032388976806,age to maturity
alburnus albidus,1.3960090169290815,age to maturity
alburnus alburnus,2.0940135253936223,age to maturity
alburnus alburnus,2,age to maturity
alburnus alburnus,1.3151016194488403,age to maturity
alburnus alburnus,2.0940135253936223,age to maturity
alburnus alburnus,2.0940135253936223,age to maturity
alburnus arborella,1.3960090169290815,age to maturity
alburnus chalcoides,2.792018033858163,age to maturity
alburnus chalcoides,6.575508097244202,age to maturity
alburnus chalcoides,3.490022542322704,age to maturity
alburnus leobergi,2.792018033858163,age to maturity
alburnus mento,3.490022542322704,age to maturity
alburnus mentoides,3.945304858346521,age to maturity
alburnus sarmaticus,2.792018033858163,age to maturity
alburnus scoranza,1.3151016194488403,age to maturity
alburnus alburnus,1.3151016194488403,age to maturity
aldrichetta forsteri,2.0940135253936223,age to maturity
alestes baremoze,2,age to maturity
alestes baremoze,2.5,age to maturity
alestes baremoze,3,age to maturity
alestes dentex,2,age to maturity
alfaro cultratus,0.5,age to maturity
allocyttus niger,27,age to maturity
alopias pelagicus,6.421641344739981,age to maturity
alopias pelagicus,5.584036067716326,age to maturity
alopias pelagicus,15.781219433386084,age to maturity
alopias pelagicus,15.781219433386084,age to maturity
alopias pelagicus,8.600000381469727,age to maturity
alopias pelagicus,13.199999809265137,age to maturity
alopias pelagicus,10.399999618530272,age to maturity
alopias superciliosus,10.190866089849886,age to maturity
alopias superciliosus,9.07405861003903,age to maturity
alopias superciliosus,13.5,age to maturity
alopias vulpinus,9.205711336141883,age to maturity
alopias vulpinus,6.575508097244202,age to maturity
alopias vulpinus,5.300000190734863,age to maturity
alopias vulpinus,4.800000190734863,age to maturity
alopias vulpinus,5.800000190734863,age to maturity
alopias vulpinus,12,age to maturity
alopias vulpinus,13,age to maturity
alopias vulpinus,8,age to maturity
alosa aestivalis,4,age to maturity
alosa aestivalis,2.792018033858163,age to maturity
alosa agone,2.792018033858163,age to maturity
alosa agone,2.0940135253936223,age to maturity
alosa alosa,3.5,age to maturity
alosa alosa,4.188027050787245,age to maturity
alosa alosa,3.490022542322704,age to maturity
alosa alosa,6.282040576180867,age to maturity
alosa alosa,4.188027050787245,age to maturity
alosa alosa,3.490022542322704,age to maturity
alosa caspia,3.490022542322704,age to maturity
alosa caspia,2.0940135253936223,age to maturity
alosa fallax,3,age to maturity
alosa fallax,2,age to maturity
alosa fallax,2.0940135253936223,age to maturity
alosa fallax,4.886031559251785,age to maturity
alosa fallax,2.792018033858163,age to maturity
alosa fallax,4.188027050787245,age to maturity
alosa fallax,2.0940135253936223,age to maturity
alosa fallax,2.792018033858163,age to maturity
alosa fallax,3.490022542322704,age to maturity
alosa fallax,2.0940135253936223,age to maturity
alosa fallax,2.792018033858163,age to maturity
alosa fallax,4.188027050787245,age to maturity
alosa fallax,3.490022542322704,age to maturity
alosa immaculata,2.0940135253936223,age to maturity
alosa immaculata,3.945304858346521,age to maturity
alosa kessleri,3.490022542322704,age to maturity
alosa macedonica,1.3960090169290815,age to maturity
alosa maeotica,2.6302032388976806,age to maturity
alosa pseudoharengus,3.490022542322704,age to maturity
alosa pseudoharengus,2.6302032388976806,age to maturity
alosa pseudoharengus,2.792018033858163,age to maturity
alosa pseudoharengus,1.3151016194488403,age to maturity
alosa pseudoharengus,2.0940135253936223,age to maturity
alosa pseudoharengus,3,age to maturity
alosa pseudoharengus,2,age to maturity
alosa pseudoharengus,3.490022542322704,age to maturity
alosa sapidissima,4.599999904632568,age to maturity
alosa sapidissima,4.300000190734863,age to maturity
alosa sapidissima,6.575508097244202,age to maturity
alosa sapidissima,5.260406477795361,age to maturity
alosa tanaica,1.3960090169290815,age to maturity
alosa volgensis,2.0940135253936223,age to maturity
amatolacypris trevelyani,2.0940135253936223,age to maturity
amatolacypris trevelyani,2.0940135253936223,age to maturity
ambassis agrammus,1.3151016194488403,age to maturity
ambassis macleayi,1.3151016194488403,age to maturity
ambloplites rupestris,2.0940135253936223,age to maturity
ambloplites rupestris,3.945304858346521,age to maturity
ambloplites rupestris,3.490022542322704,age to maturity
amblygaster sirm,1,age to maturity
amblygaster sirm,0.8500000238418579,age to maturity
amblygaster sirm,0.959999978542328,age to maturity
amblygaster sirm,0.5391916592708547,age to maturity
amblygaster sirm,1.0652323148890073,age to maturity
amblyraja radiata,4,age to maturity
amblyraja radiata,4,age to maturity
amblyraja radiata,11,age to maturity
amblyraja radiata,10.899999618530272,age to maturity
amblyraja radiata,5,age to maturity
amblyraja radiata,28,age to maturity
ameiurus melas,3.945304858346521,age to maturity
ameiurus natalis,1.3960090169290815,age to maturity
ameiurus nebulosus,3.945304858346521,age to maturity
ameiurus nebulosus,2.0940135253936223,age to maturity
ameiurus nebulosus,3.945304858346521,age to maturity
ameiurus nebulosus,2.0940135253936223,age to maturity
amia calva,3.490022542322704,age to maturity
amia calva,3.490022542322704,age to maturity
amia calva,3.490022542322704,age to maturity
amia calva,4,age to maturity
ammodytes hexapterus,2.0940135253936223,age to maturity
ammodytes hexapterus,2.0940135253936223,age to maturity
ammodytes hexapterus,2.0940135253936223,age to maturity
ammodytes hexapterus,2.0940135253936223,age to maturity
ammodytes marinus,3,age to maturity
ammodytes marinus,2.0940135253936223,age to maturity
ammodytes marinus,2.0940135253936223,age to maturity
ammodytes marinus,2.0940135253936223,age to maturity
ammodytes marinus,2.0940135253936223,age to maturity
ammodytes marinus,1.3960090169290815,age to maturity
ammodytes marinus,2,age to maturity
ammodytes marinus,3.200000047683716,age to maturity
ammodytes marinus,3.200000047683716,age to maturity
ammodytes marinus,1.5099999904632568,age to maturity
ammodytes tobianus,2.6302032388976806,age to maturity
ammodytes tobianus,1,age to maturity
ammodytes tobianus,2,age to maturity
ammodytes tobianus,2,age to maturity
amphiprion melanopus,2.1962196480415246,age to maturity
amphiprion perideraion,1.2773482804452132,age to maturity
amphiprion perideraion,1.2773482804452132,age to maturity
amphistichus argenteus,2,age to maturity
amphistichus rhodoterus,3,age to maturity
anablepsoides lungi,0.4000000059604645,age to maturity
anaecypris hispanica,1.3151016194488403,age to maturity
anarhichas lupus,4.886031559251785,age to maturity
anarhichas minor,7.5,age to maturity
anarhichas minor,8.5,age to maturity
anarrhichthys ocellatus,9.205711336141883,age to maturity
anchoa hepsetus,0.6980045084645408,age to maturity
anchoa mitchilli,0.1745011271161352,age to maturity
anguilla anguilla,12.564081152361734,age to maturity
anguilla anguilla,11,age to maturity
anguilla anguilla,6.282040576180867,age to maturity
anguilla anguilla,6.575508097244202,age to maturity
anguilla anguilla,13.960090169290815,age to maturity
anguilla anguilla,8.37605410157449,age to maturity
anguilla australis,20.940135253936223,age to maturity
anguilla australis,8.37605410157449,age to maturity
anguilla dieffenbachii,28.932235627874487,age to maturity
anguilla dieffenbachii,63.12487773354434,age to maturity
anguilla dieffenbachii,43.39835344181173,age to maturity
anguilla dieffenbachii,28.932235627874487,age to maturity
anguilla dieffenbachii,42.08325182236289,age to maturity
anguilla dieffenbachii,63.12487773354434,age to maturity
anguilla dieffenbachii,34.19264210566985,age to maturity
anguilla dieffenbachii,12.564081152361734,age to maturity
anguilla dieffenbachii,31.410202880904336,age to maturity
anguilla dieffenbachii,20.940135253936223,age to maturity
anguilla dieffenbachii,13.960090169290815,age to maturity
anguilla dieffenbachii,18.846121728542602,age to maturity
anguilla dieffenbachii,26.52417132165255,age to maturity
anguilla dieffenbachii,14.658094677755356,age to maturity
anguilla reinhardtii,20.940135253936223,age to maturity
anguilla reinhardtii,8.37605410157449,age to maturity
anguilla rostrata,4.188027050787245,age to maturity
anguilla rostrata,12.564081152361734,age to maturity
anguilla rostrata,6.980045084645408,age to maturity
anguilla rostrata,16.05410369468444,age to maturity
anguilla rostrata,10.470067626968111,age to maturity
anisotremus davidsonii,2,age to maturity
anoplarchus purpurescens,2.0940135253936223,age to maturity
anoplarchus purpurescens,2.5,age to maturity
anoplopoma fimbria,5.099999904632568,age to maturity
anoplopoma fimbria,4.800000190734863,age to maturity
anoplopoma fimbria,6,age to maturity
anoplopoma fimbria,4.188027050787245,age to maturity
aphanius baeticus,0.23034149694624684,age to maturity
aphanius fasciatus,0.6980045084645408,age to maturity
aphanius iberus,0.6575508097244201,age to maturity
aphanopus carbo,3.945304858346521,age to maturity
aphanopus carbo,3.945304858346521,age to maturity
aphia minuta,1,age to maturity
aphia minuta,0.3490022542322704,age to maturity
aphia minuta,0.3490022542322704,age to maturity
apistogramma juruensis,0.23034149694624684,age to maturity
aplocheilus panchax,0.2931618844021588,age to maturity
apogon imberbis,1,age to maturity
apogon imberbis,1,age to maturity
aprion virescens,3.490022542322704,age to maturity
aprion virescens,3.490022542322704,age to maturity
apteronotus leptorhynchus,1,age to maturity
arapaima gigas,6.575508097244202,age to maturity
arapaima gigas,3.490022542322704,age to maturity
arapaima gigas,6,age to maturity
archosargus rhomboidalis,0.41999998688697815,age to maturity
arctoscopus japonicus,2.0940135253936223,age to maturity
argentina silus,4.886031559251785,age to maturity
argentina silus,6.282040576180867,age to maturity
argentina silus,4.188027050787245,age to maturity
argentina silus,8.699999809265137,age to maturity
argentina silus,7,age to maturity
argentina silus,6,age to maturity
argentina silus,6,age to maturity
argentina silus,7,age to maturity
argentina silus,8.199999809265137,age to maturity
argentina silus,4,age to maturity
argyropelecus hemigymnus,1,age to maturity
argyrops filamentosus,2,age to maturity
argyrops filamentosus,2,age to maturity
argyrops spinifer,2.4000000953674316,age to maturity
argyrops spinifer,2.4000000953674316,age to maturity
argyrops spinifer,5.599999904632568,age to maturity
argyrops spinifer,5,age to maturity
argyrops spinifer,2,age to maturity
argyrosomus inodorus,1.2999999523162842,age to maturity
argyrosomus inodorus,2.4000000953674316,age to maturity
argyrosomus inodorus,1,age to maturity
argyrosomus inodorus,1.5,age to maturity
argyrosomus inodorus,1.5,age to maturity
argyrosomus inodorus,1.600000023841858,age to maturity
argyrosomus japonicus,7.890609716693042,age to maturity
argyrozona argyrozona,7.890609716693042,age to maturity
argyrozona argyrozona,5,age to maturity
arnoglossus laterna,3.945304858346521,age to maturity
arnoglossus thori,2.6302032388976806,age to maturity
arripis georgianus,2.792018033858163,age to maturity
arripis trutta,5.260406477795361,age to maturity
arripis trutta,4,age to maturity
arripis trutta,4,age to maturity
arripis truttacea,4.188027050787245,age to maturity
arripis truttacea,2.792018033858163,age to maturity
aspidophoroides monopterygius,4.699999809265137,age to maturity
atheresthes stomias,4.886031559251785,age to maturity
atheresthes stomias,4.188027050787245,age to maturity
atherina boyeri,1,age to maturity
atherina boyeri,1.3151016194488403,age to maturity
atherinomorus vaigiensis,1.3960090169290815,age to maturity
atherinops affinis,2,age to maturity
atherinopsis californiensis,2.5,age to maturity
atractoscion aequidens,5,age to maturity
atractoscion nobilis,4,age to maturity
aulopyge huegelii,2.6302032388976806,age to maturity
aulopyge huegelii,1.3151016194488403,age to maturity
aulorhynchus flavidus,1,age to maturity
australoheros facetus,1.3960090169290815,age to maturity
austrolebias viarius,0.15000000596046448,age to maturity
auxis rochei,2.6302032388976806,age to maturity
auxis thazard,2.5,age to maturity
babka gymnotrachelus,2.6302032388976806,age to maturity
babka gymnotrachelus,1.3151016194488403,age to maturity
babka gymnotrachelus,2.6302032388976806,age to maturity
bagrus bajad,6.575508097244202,age to maturity
bagrus bajad,5.260406477795361,age to maturity
bagrus docmak,3.945304858346521,age to maturity
bagrus docmak,3.945304858346521,age to maturity
bagrus docmak,2.0940135253936223,age to maturity
bagrus docmak,2.0940135253936223,age to maturity
bagrus meridionalis,4,age to maturity
bagrus meridionalis,4,age to maturity
bairdiella chrysoura,0.6000000238418579,age to maturity
bairdiella chrysoura,0.6980045084645408,age to maturity
balistes capriscus,1,age to maturity
ballerus ballerus,3.490022542322704,age to maturity
ballerus ballerus,3.490022542322704,age to maturity
ballerus ballerus,2.792018033858163,age to maturity
ballerus ballerus,2.792018033858163,age to maturity
ballerus ballerus,3.740000009536743,age to maturity
ballerus sapa,5.260406477795361,age to maturity
ballerus sapa,2.792018033858163,age to maturity
barbatula barbatula,2.0940135253936223,age to maturity
barbatula barbatula,2.0940135253936223,age to maturity
barbatula barbatula,2.6302032388976806,age to maturity
barbatula barbatula,1.3151016194488403,age to maturity
barbatula barbatula,2.0940135253936223,age to maturity
barbus barbus,3.490022542322704,age to maturity
barbus barbus,2.792018033858163,age to maturity
barbus barbus,4.886031559251785,age to maturity
barbus barbus,3.490022542322704,age to maturity
barbus caninus,2.6302032388976806,age to maturity
barbus caninus,1.3151016194488403,age to maturity
barbus carpathicus,2.0940135253936223,age to maturity
barbus carpathicus,2.0940135253936223,age to maturity
barbus ciscaucasicus,5.260406477795361,age to maturity
barbus ciscaucasicus,2.0940135253936223,age to maturity
barbus cyclolepis,2.6302032388976806,age to maturity
barbus cyclolepis,2.792018033858163,age to maturity
barbus cyclolepis,2.0940135253936223,age to maturity
barbus cyri,4.188027050787245,age to maturity
barbus cyri,2.792018033858163,age to maturity
barbus haasi,2.792018033858163,age to maturity
barbus haasi,2.0940135253936223,age to maturity
barbus kubanicus,5.260406477795361,age to maturity
barbus kubanicus,3.945304858346521,age to maturity
barbus peloponnesius,3.490022542322704,age to maturity
barbus peloponnesius,2.6302032388976806,age to maturity
barbus peloponnesius,2.0940135253936223,age to maturity
barbus peloponnesius,2.792018033858163,age to maturity
barbus peloponnesius,2.0940135253936223,age to maturity
barbus plebejus,2.792018033858163,age to maturity
barbus plebejus,2.792018033858163,age to maturity
barbus plebejus,2.0940135253936223,age to maturity
barbus strumicae,2.6302032388976806,age to maturity
barbus tauricus,3.945304858346521,age to maturity
barbus tauricus,2.6302032388976806,age to maturity
barbus tyberinus,5.260406477795361,age to maturity
barbus tyberinus,2.6302032388976806,age to maturity
barbus tyberinus,1.3151016194488403,age to maturity
barbus waleckii,3.490022542322704,age to maturity
barbus waleckii,2.6302032388976806,age to maturity
bathyraja aleutica,6.980045084645408,age to maturity
bathyraja aleutica,6.282040576180867,age to maturity
bathymaster derjugini,5.584036067716326,age to maturity
bathyraja maculata,6.282040576180867,age to maturity
bathyraja maculata,8,age to maturity
bathyraja matsubarai,5.584036067716326,age to maturity
bathyraja matsubarai,4.886031559251785,age to maturity
bathyraja parmifera,6.980045084645408,age to maturity
bathyraja parmifera,6.282040576180867,age to maturity
bathyraja parmifera,10,age to maturity
bathyraja parmifera,9,age to maturity
bathyraja violacea,4.188027050787245,age to maturity
bathyraja violacea,4.188027050787245,age to maturity
bellapiscis lesleyae,0.6980045084645408,age to maturity
belone belone,2.6302032388976806,age to maturity
belone belone,2,age to maturity
benthodesmus elongatus,4.188027050787245,age to maturity
benthodesmus elongatus,4.188027050787245,age to maturity
benthophilus grimmi,1,age to maturity
benthophilus macrocephalus,1,age to maturity
benthophilus stellatus,1,age to maturity
benthosema glaciale,2.0940135253936223,age to maturity
benthosema glaciale,2.0940135253936223,age to maturity
benthosema glaciale,1.3960090169290815,age to maturity
benthosema suborbitale,0.4000000059604645,age to maturity
beryx splendens,3.490022542322704,age to maturity
beryx splendens,5.900000095367432,age to maturity
beryx splendens,7.5,age to maturity
beryx splendens,5,age to maturity
bidyanus bidyanus,2.0940135253936223,age to maturity
bidyanus bidyanus,2.0940135253936223,age to maturity
blicca bjoerkna,5.260406477795361,age to maturity
blicca bjoerkna,3.945304858346521,age to maturity
blicca bjoerkna,2.792018033858163,age to maturity
blicca bjoerkna,3.945304858346521,age to maturity
blicca bjoerkna,2.6302032388976806,age to maturity
boops boops,1,age to maturity
boops boops,2,age to maturity
boops boops,2,age to maturity
boops boops,2,age to maturity
boops boops,5,age to maturity
boops boops,1.399999976158142,age to maturity
boreogadus saida,3.945304858346521,age to maturity
boreogadus saida,2.0940135253936223,age to maturity
boreogadus saida,3.490022542322704,age to maturity
boreogadus saida,2.0940135253936223,age to maturity
boreogadus saida,2.0940135253936223,age to maturity
boreogadus saida,2.0940135253936223,age to maturity
bostockia porosa,2,age to maturity
bostockia porosa,1,age to maturity
bothus constellatus,4.188027050787245,age to maturity
boulengerochromis microlepis,2.5,age to maturity
brachyistius frenatus,1.3151016194488403,age to maturity
brachymystax lenok,2.792018033858163,age to maturity
brachymystax lenok,2.0940135253936223,age to maturity
brachymystax lenok,4.886031559251785,age to maturity
brachyplatystoma rousseauxii,2.200000047683716,age to maturity
brama japonica,4,age to maturity
brama japonica,4,age to maturity
branchiostegus japonicus,2,age to maturity
branchiostegus japonicus,3,age to maturity
branchiostegus japonicus,2.0940135253936223,age to maturity
brevoortia patronus,1.3151016194488403,age to maturity
brevoortia tyrannus,2.0940135253936223,age to maturity
brevoortia tyrannus,2.0940135253936223,age to maturity
brosme brosme,6.980045084645408,age to maturity
brosme brosme,7.099999904632568,age to maturity
brosme brosme,7.900000095367432,age to maturity
brycinus nurse,1,age to maturity
brycinus nurse,1,age to maturity
buglossidium luteum,3,age to maturity
bunocephalus coracoideus,2.301427834035471,age to maturity
bunocephalus coracoideus,2.301427834035471,age to maturity
calamus bajonado,3,age to maturity
calamus bajonado,6.575508097244202,age to maturity
calamus bajonado,5.260406477795361,age to maturity
calamus leucosteus,1,age to maturity
calamus leucosteus,1,age to maturity
calamus nodosus,3.945304858346521,age to maturity
calamus proridens,3.945304858346521,age to maturity
callorhinchus capensis,4.199999809265137,age to maturity
callorhinchus capensis,3.299999952316284,age to maturity
callorhinchus milii,5.260406477795361,age to maturity
callorhinchus milii,3.945304858346521,age to maturity
callorhinchus milii,4.188027050787245,age to maturity
callorhinchus milii,2.792018033858163,age to maturity
capoeta bergamae,2.200000047683716,age to maturity
capoeta bergamae,1.899999976158142,age to maturity
capoeta sevangi,7.890609716693042,age to maturity
capoeta sevangi,2.0940135253936223,age to maturity
capoeta tinca,3.945304858346521,age to maturity
capoeta tinca,2.0940135253936223,age to maturity
capoeta tinca,2.6302032388976806,age to maturity
capoeta tinca,2.0940135253936223,age to maturity
capoeta umbla,5.260406477795361,age to maturity
capoeta umbla,2.6302032388976806,age to maturity
capros aper,5.25,age to maturity
capros aper,1.840000033378601,age to maturity
capros aper,4.599999904632568,age to maturity
capros aper,3.4000000953674316,age to maturity
caranx ignobilis,3.5,age to maturity
caranx melampygus,2,age to maturity
caranx rhonchus,2,age to maturity
caranx ruber,3,age to maturity
carasobarbus luteus,2.0940135253936223,age to maturity
carassius auratus,1,age to maturity
carassius auratus,1,age to maturity
carassius auratus,1.3960090169290815,age to maturity
carassius carassius,2,age to maturity
carassius carassius,5.260406477795361,age to maturity
carassius carassius,2.6302032388976806,age to maturity
carassius carassius,3.945304858346521,age to maturity
carassius gibelio,5.260406477795361,age to maturity
carassius gibelio,1.3151016194488403,age to maturity
carassius gibelio,3.945304858346521,age to maturity
carassius gibelio,2.792018033858163,age to maturity
carassius gibelio,2.792018033858163,age to maturity
carassius gibelio,1.3960090169290815,age to maturity
carcharhinus acronotus,3,age to maturity
carcharhinus acronotus,2.792018033858163,age to maturity
carcharhinus acronotus,2.5,age to maturity
carcharhinus acronotus,3,age to maturity
carcharhinus acronotus,4.510000228881836,age to maturity
carcharhinus acronotus,4.510000228881836,age to maturity
carcharhinus amblyrhynchos,4.886031559251785,age to maturity
carcharhinus amblyrhynchos,7,age to maturity
carcharhinus brachyurus,8.37605410157449,age to maturity
carcharhinus brachyurus,13.960090169290815,age to maturity
carcharhinus brachyurus,13.262085660826274,age to maturity
carcharhinus brachyurus,24.986930769527966,age to maturity
carcharhinus brachyurus,17.096321052834924,age to maturity
carcharhinus brachyurus,6.575508097244202,age to maturity
carcharhinus brachyurus,19.5,age to maturity
carcharhinus brachyurus,16,age to maturity
carcharhinus falciformis,8,age to maturity
carcharhinus falciformis,4.886031559251785,age to maturity
carcharhinus falciformis,12,age to maturity
carcharhinus falciformis,6.980045084645408,age to maturity
carcharhinus galapagensis,6.282040576180867,age to maturity
carcharhinus galapagensis,5.584036067716326,age to maturity
carcharhinus isodon,4.300000190734863,age to maturity
carcharhinus isodon,3.900000095367432,age to maturity
carcharhinus leucas,7.890609716693042,age to maturity
carcharhinus leucas,23.934850477311805,age to maturity
carcharhinus leucas,10.470067626968111,age to maturity
carcharhinus leucas,15,age to maturity
carcharhinus leucas,21,age to maturity
carcharhinus leucas,20,age to maturity
carcharhinus leucas,4.188027050787245,age to maturity
carcharhinus limbatus,5.260406477795361,age to maturity
carcharhinus limbatus,2.792018033858163,age to maturity
carcharhinus limbatus,7,age to maturity
carcharhinus limbatus,7,age to maturity
carcharhinus longimanus,5,age to maturity
carcharhinus longimanus,4.886031559251785,age to maturity
carcharhinus longimanus,7.360000133514404,age to maturity
carcharhinus obscurus,21,age to maturity
carcharhinus obscurus,12.564081152361734,age to maturity
carcharhinus obscurus,21,age to maturity
carcharhinus obscurus,19,age to maturity
