taxon,species,representative_to,comments_notes
fish,hoplostethus japonicus,,
fish,hoplunnis schmidti,,
fish,hygophum proximum,,
fish,hypleurochilus bananensis,,
fish,hypsoblennius striatus,,
fish,icelinus filamentosus,,
fish,inimicus caledonicus,,
fish,katsuwonus pelamis,,
fish,kaupichthys brachychirus,,
fish,krefftichthys anderssoni,,
fish,laeops cypho,,
fish,laeops guentheri,,
fish,laeops kitaharae,,
fish,lampadena pontifex,,
fish,lampanyctus jordani,,
fish,lepidotrigla kishinouyi,,
fish,lepidotrigla omanensis,,
fish,lepidotrigla venusta,,
fish,leviprora inops,,
fish,liparis liparis,,
fish,luciobrotula lineata,,
fish,lutjanus carponotatus,,
fish,lutjanus sebae,,
fish,lyopsetta exilis,,
fish,macroramphosus scolopax,,
fish,meuschenia scaber,,
fish,minous dempsterae,,
fish,minous quincarinatus,,
fish,molva dypterygia,,
fish,monomitopus agassizii,,
fish,monopenchelys acuta,,
fish,moringua edwardsi,,
fish,mulloidichthys dentatus,,
fish,myctophum lychnobium,,
fish,myctophum spinosum,,
fish,myoxocephalus tuberculatus,,
fish,nannobrachium gibbsi,,
fish,naso vlamingii,,
fish,nectamia annularis,,
fish,nectamia fusca,,
fish,nectamia zebrina,,
fish,neobythites bimaculatus,,
fish,neobythites franzi,,
fish,neomerinthe erostris,,
fish,neomerinthe hemingwayi,,
fish,nessorhamphus danae,,
fish,notolabrus celidotus,,
fish,notopogon macrosolen,,
fish,ocosia possi,,
fish,omobranchus anolius,,
fish,omobranchus fasciolatus,,
fish,omobranchus rotundiceps,,
fish,oncorhynchus nerka,,
fish,ophichthus altipennis,,
fish,ophichthus melanoporus,,
fish,ophidion fulvum,,
fish,ostorhinchus compressus,,
fish,ostorhinchus doederleini,,
fish,ostorhinchus fleurieu,,
fish,ostorhinchus margaritophorus,,
fish,ostorhinchus neotes,,
fish,ostorhinchus notatus,,
fish,ostorhinchus rubrimacula,,
fish,ostorhinchus sealei,,
fish,ostorhinchus semilineatus,,
fish,ostorhinchus wassinki,,
fish,pagrus auratus,,
fish,parablennius parvicornis,,
fish,parablennius yatabei,,
fish,parablennius zvonimiri,,
fish,paracentropogon vespa,,
fish,paralichthodes algoensis,,
fish,paralichthys aestuarius,,
fish,paralichthys dentatus,,
fish,paralichthys fernandezianus,,
fish,paraliparis atramentatus,,
fish,paraliparis atrolabiatus,,
fish,paraliparis copei,,
fish,paraliparis kreffti,,
fish,paraliparis megalopus,,
fish,paraliparis obliquosus,,
fish,paraliparis operculosus,,
fish,paraliparis orcadensis,,
fish,paraliparis plagiostomus,,
fish,paraliparis tompkinsae,,
fish,parapercis colias,,
fish,parenchelyurus hepburni,,
fish,parma microlepis,,
fish,parupeneus crassilabris,,
fish,parupeneus multifasciatus,,
fish,parupeneus posteli,,
fish,paxton concilians,,
fish,pegusa triophthalma,,
fish,pelotretis flavilatus,,
fish,percis matsuii,,
fish,peristedion amblygenys,,
fish,petrotyx sanguineus,,
fish,phycodurus eques,,
fish,platichthys flesus,,
fish,platycephalus indicus,,
fish,plectrogenium nanum,,
fish,plectropomus leopardus,,
fish,poecilopsetta albomaculata,,
fish,pomacentrus amboinensis,,
fish,pomacentrus coelestis,,
fish,pontinus macrocephalus,,
fish,porichthys oculellus,,
fish,porichthys oculofrenum,,
fish,porocephalichthys dasyrhynchus,,
fish,praealticus dayi,,
fish,prognatholiparis ptychomandibularis,,
fish,protomyctophum luciferum,,
fish,psednos andriashevi,,
fish,psednos harteli,,
fish,psettina hainanensis,,
fish,pterois lunulata,,
fish,pterygotrigla hemisticta,,
fish,pycnocraspedum squamipinne,,
fish,pyramodon lindas,,
fish,rexea solandri,,
fish,rhabdosargus sarba,,
fish,rhinomuraena quaesita,,
fish,rhombosolea plebeia,,
fish,ricuzenius nudithorax,,
fish,salarias ceramensis,,
fish,salarias fasciatus,,
fish,salarias sinuosus,,
fish,samariscus filipectoralis,,
fish,samariscus huysmani,,
fish,saurenchelys fierasfer,,
fish,saurenchelys meteori,,
fish,scarus schlegeli,,
fish,scorpaena azorica,,
fish,scorpaena hatizyoensis,,
fish,scorpaenodes hirsutus,,
fish,scorpaenodes quadrispinosus,,
fish,scorpaenopsis altirostris,,
fish,sebastes cortezi,,
fish,sebastes diploproa,,
fish,sebastes koreanus,,
fish,sebastes mentella,,
fish,sebastes nivosus,,
fish,sebastes peduncularis,,
fish,serrivomer lanceolatoides,,
fish,simenchelys parasitica,,
fish,siokunichthys nigrolineatus,,
fish,skythrenchelys zabra,,
fish,spratelloides delicatulus,,
fish,stelgistrum beringianum,,
fish,stygnobrotula latebricola,,
fish,sympterichthys politus,,
fish,synaphobranchus affinis,,
fish,synaphobranchus kaupii,,
fish,synaphobranchus oregoni,,
fish,synclidopus macleayanus,,
fish,syngnathus floridae,,
fish,taeniamia buruensis,,
fish,tetraroge barbata,,
fish,thalassobathia pelagica,,
fish,thunnus maccoyii,,
fish,trachinotus goodei,,
fish,trachinotus rhodopus,,
fish,triglops forficatus,,
fish,uropterygius fuscoguttatus,,
fish,uropterygius wheeleri,,
fish,vanacampus vercoi,,
fish,venefica tentaculata,,
fish,xenomystax trucidans,,
fish,xestochilus nebulosus,,
fish,zanclorhynchus spinifer,,
fish,zebrias crossolepis,,
fish,zesticelus bathybius,,
molluscs,acesta excavata,,
molluscs,adamussium colbecki,,
molluscs,aeolidia papillosa,,
molluscs,anadara trapezia,,
molluscs,aplysia californica,,
molluscs,aplysia vaccaria,,
molluscs,argopecten irradians,,
molluscs,austrocochlea porcata,,
molluscs,bankia setacea,,
molluscs,cadlina luteomarginata,,
molluscs,calliostoma ligatum,,
molluscs,cellana tramoserica,,
molluscs,cerastoderma edule,,
molluscs,crassostrea virginica,,
molluscs,haliotis coccoradiata,,
molluscs,haliotis kamtschatkana,,
molluscs,haliotis rubra,,
molluscs,lottia scutum,,
molluscs,lunella undulata,,
molluscs,magallana gigas,,
molluscs,magallana hongkongensis,,
molluscs,mercenaria mercenaria,,
molluscs,mimachlamys asperrima,,
molluscs,mytilus californianus,,
molluscs,mytilus edulis,,
molluscs,mytilus galloprovincialis,,
molluscs,mytilus trossulus,,
molluscs,ostrea angasi,,
molluscs,ostrea edulis,,
molluscs,ostrea lurida,,
molluscs,panopea generosa,,
molluscs,pecten fumatus,,
molluscs,pecten maximus,,
molluscs,pinctada imbricata,,
molluscs,pinctada maxima,,
molluscs,pinna bicolor,,
molluscs,plebidonax deltoides,,
molluscs,rochia nilotica,,
molluscs,saccostrea glomerata,,
molluscs,siliqua patula,,
molluscs,tegula funebralis,,
molluscs,tenguella marginalba,,
molluscs,trichomya hirsuta,,
molluscs,tridacna gigas,,
molluscs,tridacna maxima,,
molluscs,turbo militaris,,
