category,trait,acanthochromis polyacanthus,acanthurus dusumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensi,cephalopholis cyanostogmata,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,congriscus maldivensis,corphaena hippurus,crossosalarias macrospilus,ctenoscarus bicolor,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus mohua,galaxias brevipinnis,gobiodon citrinus,gobiodon histro,gorgasia maculata,gymnothoraxjavanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponatatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingi,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,osterhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycoduras eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeri,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biophysical traits,respiration structures,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills,gills
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",very small,no,NA,very small,few,NA,NA,NA,no,NA,NA,large,NA,very small,NA,NA,no,na,na,na,na,unknown,few,NA,NA,NA,very small,NA,NA,NA,na,NA,no,NA,unknown,NA,no,NA,large,NA,NA,small (10s to 100s),na,NA,NA,NA,NA,very small,na,NA,very small,large,small (river),very small,very small,NA,na,NA,NA,na,large,large,NA,large,NA,NA,large,NA,small,small,no,NA,NA,no,NA,no,NA,NA,NA,small (river),NA,NA,very small,NA,NA,NA,na,NA,very small,na,medium,very small,NA,few,NA,NA,very small,NA,NA,NA,no,no,NA,NA,NA,very small,NA,NA,NA,large,NA,NA,NA,NA,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,does not aggregate,no,does not aggregate,does not aggregate,spawning aggregations,many,does not aggregate,many,no,does not aggregate,does not aggregate,few,does not aggregate,few,many,many,no,does not aggregate,does not aggregate,does not aggregate,does not aggregate,unknown,aggregate,many,many,many,many;aggregates to spawn-banks,many,does not aggregate,many,many,many,no,many,few,many,no,many,aggregate,many,many,spawning aggregations,does not aggregate,does not aggregate,does not aggregate,many,many,does not aggregate,many,many,does not aggregate,aggregate;many,few,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,does not aggregate,few,few,many,few,many,many,few,many,many,many,no,many,does not aggregate,no,many,no,many,many,many,few,many,many,does not aggregate,many,many,many,does not aggregate,many,does not aggregate,does not aggregate,spawning aggregations,many,many,spawning aggregations,many,many,does not aggregate,many,many,many,no,no,many,many,many,does not aggregate,many,many,many,few,many,many,many,does not aggregate,many
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,no,no,NA,no,yes,NA,NA,NA,no,NA,NA,yes,NA,yes,NA,NA,no,unknown,no,no,no,unknown,unknown,NA,no,no,yes,NA,NA,NA,no,no,no,NA,yes,no,no,NA,yes,no,no,yes,unknown,no,no,NA,NA,no,no,NA,no,yes,yes,no,no,NA,no,NA,NA,no,yes,yes,NA,yes,no,no,yes,NA,no,no,no,NA,NA,no,NA,no,no,no,no,yes,NA,NA,no,no,no,no,no,no,no,no,yes,no,no,yes,NA,no,no,no,NA,NA,no,no,NA,NA,NA,no,NA,NA,NA,yes,NA,NA,NA,NA,NA
foraging range,"if one/few, size",medium,many,NA,very small,unknown,NA,NA,NA,many,NA,NA,large,NA,very small,NA,NA,many,very small,medium,medium,medium,unknown,unknown,NA,NA,NA,na,NA,NA,NA,large,NA,many,NA,unknown,NA,many,NA,unknown,NA,NA,yes,unknown,NA,NA,NA,NA,very small,large,NA,very small,large,large,very small,very small,NA,medium,NA,NA,na,large,large,NA,large,NA,NA,large,NA,medium,medium,many,NA,NA,many,NA,many,NA,NA,NA,large,NA,NA,medium,NA,NA,NA,na,NA,medium,na,yes,very small,NA,large,NA,NA,very small,NA,NA,NA,many,many,NA,NA,NA,very small,NA,NA,NA,large,NA,NA,NA,NA,NA
foraging range,"number of sites, incl. terrestrial wetlands",many,no,NA,many,many,NA,NA,NA,no,NA,NA,many,NA,yes,NA,NA,few,reef based,many,many,many,unknown,unknown,NA,many,many,many,NA,NA,NA,many,many,no,NA,many,many,few,NA,many,many,many,unknown,unknown,many,many,NA,NA,few,many,NA,few,many,many,few,few,NA,many,NA,NA,na,many,many,NA,many,many,many,many,NA,many,many,no,NA,NA,no,NA,no,many,many,many,many,NA,NA,many,many,many,many,na,many,many,na,unknown,many,many,few,NA,many,few,many,NA,NA,no,no,NA,NA,NA,few,NA,NA,NA,many,NA,NA,NA,NA,NA
foraging range,sub-population dependence on particular sites,no,no,NA,yes,unknown,NA,NA,NA,no,NA,NA,yes,NA,yes,NA,NA,no,yes,no,no,no,unknown,unknown,NA,no,no,yes,NA,NA,NA,yes,no,no,NA,yes,no,no,NA,unknown,no,no,NA,NA,no,no,NA,NA,no,yes,NA,no,yes,only for spawning,no,no,NA,no,NA,NA,no,yes,yes,NA,yes,no,no,yes,NA,no,no,no,NA,NA,no,NA,no,no,no,no,only for spawning,NA,NA,no,no,no,no,no,no,no,no,NA,no,no,yes,NA,no,no,no,NA,NA,no,no,NA,NA,NA,no,NA,NA,NA,yes,NA,NA,NA,NA,NA
movement,adult mobility,nearly sessile/sedentary,mobile resident,mobile resident,nearly sessile/sedentary,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,NA,mobile resident,mobile resident,mobile resident,vertical migrator;horizontal migrator,mobile resident,vertical migrator,mobile resident,nomadic,mobile resident,mobile resident,mobile resident,nomadic,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nomadic,mobile resident,nearly sessile/sedentary,horizontal migrator,horizontal migrator,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,mobile resident,nearly sessile/sedentary,mobile resident,vertical migrator,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,nearly sessile/sedentary,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,NA,mobile resident,nearly sessile/sedentary,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,vertical migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident,horizontal migrator,mobile resident,mobile resident,mobile resident,mobile resident,mobile resident
movement,planktonic larval duration (pld),<1month,<4months,>1year,<1month,>1year,>1year,>1year,>1year,<4months,>1year,>1year,unknown,>1year,no larvae,>1year,>1year,<4months,<4months,<4months,<4months,<4months,4months-1year,<1month,>1year,<4months,<4months,<4months,>1year,>1year,>1year,<1month,<4months,<4months,>1year,4months-1year,<4months,<4months,>1year,<4months,<4months,<4months,30-80d<4months,<4months,no larvae,no larvae,>1year,>1year,<1month,<1month,>1year,<4months,<4months,4months to 1year,<1month,<1month,>1year,<4months,>1year,>1year,no larvae,<4months,unknown,>1year,unknown,<4months,<4months,<1month,>1year,<1month,<1month,<4months,>1year,>1year,<4months,>1year,<4months,<4months,<4months,<4months,<4months,>1year,>1year,<1month,<4months,<4months,<4months,<1month,<4months,<1month,no larvae,30-80d<4months,<1month,<4months,unknown,>1year,<4months,<1month,<4months,>1year,>1year,<4months,<1month,>1year,>1year,>1year,<1month,>1year,>1year,>1year,<1month,>1year,>1year,>1year,>1year,>1year
physiological tolerance breadths,dissolved oxygen,unknown,unknown,medium tolerance,narrow tolerance range,high tolerance,medium tolerance,medium tolerance,medium tolerance,unknown,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,unknown,narrow tolerance range,unknown,unknown,unknown,low tolerance,low tolerance,medium tolerance,medium tolerance,medium tolerance,high tolerance,medium tolerance,medium tolerance,medium tolerance,low tolerance,medium tolerance,unknown,medium tolerance,low tolerance,medium tolerance,unknown,medium tolerance,high tolerance,medium tolerance,medium tolerance,high tolerance esp juvs,high tolerance,high tolerance,high tolerance,medium tolerance,medium tolerance,unknown,low tolerance,medium tolerance,unknown,low tolerance,high tolerance-fw,unknown,unknown,medium tolerance,unknown,medium tolerance,medium tolerance,unknown,low tolerance,low tolerance,medium tolerance,lowtolerance,high tolerance,high tolerance,low tolerance,medium tolerance,unknown,medium,unknown,medium tolerance,medium tolerance,unknown,medium tolerance,unknown,high tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,unknown,high tolerance,high tolerance,medium tolerance,unknown,high tolerance,unknown,unknown,low tolerence,unknown,high tolerance,unknown,medium tolerance,high tolerance,low tolerance,high tolerance,medium tolerance,medium tolerance,unknown,unknown,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,low tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance,medium tolerance
physiological tolerance breadths,ph,unknown,unknown,<7.4,7.8-8.2,no,<7.4,<7.4,<7.4,unknown,<7.4,<7.4,unknown,<7.4,unknown,<7.4,<7.4,unknown,7.8-8.2,unknown,unknown,unknown,unknown,unknown,<7.4,unknown,unknown,unknown,<7.4,<7.4,<7.4,unknown,unknown,unknown,<7.4,unknown,unknown,unknown,<7.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,<7.4,<7.4,unknown,unknown,<7.4,unknown,unknown,unknown,unknown,unknown,<7.4,unknown,<7.4,<7.4,unknown,unknown,unknown,<7.4,unknown,unknown,unknown,unknown,<7.4,unknown,unknown,unknown,<7.4,<7.4,unknown,<7.4,unknown,unknown,unknown,unknown,unknown,<7.4,<7.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,<7.4,unknown,unknown,unknown,<7.4,<7.4,unknown,unknown,<7.4,<7.4,<7.4,unknown,<7.4,<7.4,<7.4,unknown,<7.4,<7.4,<7.4,<7.4,<7.4
physiological tolerance breadths,salinity,stenohaline,stenohaline,stenohaline,stenohaline,catadromous;sw-fw-sw,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,32-34parts per thousand (myxiniformes),32-34parts per thousand (myxiniformes),stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,euryhaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline-brackish,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline-brackish,euryhaline,stenohaline,euryhaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,euryhaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline,stenohaline
physiological tolerance breadths,sensitivity to wave energy (physical forcing),unknown,not sensitive,na,not sensitive,no,na,na,na,not sensitive,na,na,not sensitive,na,sensitive,na,na,not sensitive,not sensitive,not sensitive,not sensitive,not sensitive,unknown,unknown,na,not sensitive,not sensitive,unknown,na,na,na,sensitive,not sensitive,not sensitive,na,unknown,not sensitive,not sensitive,na,unknown,not sensitive,not sensitive,not sensitive,unknown,not sensitive,not sensitive,na,na,unknown,sensitive,na,unknown,not sensitive,sensitive,unknown,unknown,na,not sensitive,na,na,unknown,not sensitive,not sensitive,na,not sensitive,not sensitive,not sensitive,sensitive,na,not sensitive,not sensitive,not sensitive,na,na,not sensitive,na,not sensitive,not sensitive,not sensitive,not sensitive,sensitive,na,na,unknown,not sensitive,not sensitive,not sensitive,unknown,not sensitive,not sensitive,unknown,not sensitive,not sensitive,not sensitive,not sensitive,na,not sensitive,unknown,not sensitive,na,na,not sensitive,unknown,na,na,na,unknown,na,na,na,sensitive,na,na,na,na,na
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,no,no,unknown,yes,no,unknown,unknown,unknown,no,unknown,unknown,yes,unknown,unknown,unknown,unknown,no,yes,no,no,no,unknown,no,unknown,notlikely,notlikely,no,unknown,unknown,unknown,no,notlikely,no,unknown,unknown,notlikely,no,unknown,no,notlikely,notlikely,no,no,unknown,unknown,unknown,unknown,no,no,unknown,unknown,no,no,unknown,no,unknown,no,unknown,unknown,unknown,no,no,unknown,no,notlikely,notlikely,yes,unknown,no,no,no,unknown,unknown,no,unknown,no,notlikely,notlikely,notlikely,no,unknown,unknown,no,notlikely,notlikely,notlikely,no,notlikely,no,unknown,no,no,notlikely,unknown,unknown,notlikely,unknown,notlikely,unknown,unknown,no,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown
