category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
r (reproductive traits),age to 1st reproduction/generation time,5-10 yrs (data for another Nymphon species),510yrsdataforanothernymphonspecies,Nymphon australe (pycnogonida),crustacea_arthropods,NA
r (reproductive traits),parental investment,egg care,eggcare,Nymphon australe (pycnogonida),crustacea_arthropods,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes,yes,Nymphon australe (pycnogonida),crustacea_arthropods,NA
r (reproductive traits),global population size,"dominant sp, 1-10k",dominantsp110k,Nymphon australe (pycnogonida),crustacea_arthropods,NA
physiological tolerance breadths,salinity,narrow,narrow,Nymphon australe (pycnogonida),crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,unknown,unknown,Nymphon australe (pycnogonida),crustacea_arthropods,NA
specialisation,extreme diet specialization,yes,yes,Nymphon australe (pycnogonida),crustacea_arthropods,NA
spatial scale of species,eoo (range),"20,000? This sp, is antarctic circumpolar",20000thisspisantarcticcircumpolar,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,adult body mass/body size,"10 mm body lentgh, 25 mm leg span",10mmbodylentgh25mmlegspan,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,biomineral,none,none,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,flight,none,none,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,communication requirement (sound),none,none,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",none,none,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,extreme pressure wave sensitive structures,none,none,Nymphon australe (pycnogonida),crustacea_arthropods,NA
biophysical traits,respiration structures,skin or cuticle,skinorcuticle,Nymphon australe (pycnogonida),crustacea_arthropods,NA
movement,planktonic larval duration (pld),unknown,unknown,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
r (reproductive traits),fecundity,10-100,10100,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
r (reproductive traits),lifetime # reproductive opportunities,11 to 25,11to25,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,1 to 5 yrs,1to5yrs,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
r (reproductive traits),parental investment,egg care,eggcare,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes,yes,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
physiological tolerance breadths,salinity,narrow,narrow,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,unknown,unknown,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
specialisation,within-stage dependent habitats + condition,"intertidal, cora reef",intertidalcorareef,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
specialisation,extreme diet specialization,yes,yes,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
spatial scale of species,eoo (range),<100km2,<100km2,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,adult body mass/body size,"10 mm body length, 15 mm leg span",10mmbodylength15mmlegspan,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,biomineral,none,none,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,flight,none,none,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,communication requirement (sound),none,none,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",none,none,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,extreme pressure wave sensitive structures,none,none,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
biophysical traits,respiration structures,skin or cuticle,skinorcuticle,Pycnogonum (Pycnogpnida),crustacea_arthropods,NA
movement,planktonic larval duration (pld),unknown,unknown,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
r (reproductive traits),parental investment,egg care,eggcare,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes,yes,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
r (reproductive traits),global population size,>100k,>100k,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
physiological tolerance breadths,salinity,1%o to 32%o,1oto32o,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,1.0 mg l−1 to 7mg l−1,10mgl1to7mgl1,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
specialisation,light dependence,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
specialisation,air-sea interface,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
specialisation,extreme diet specialization,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
specialisation,dependent interspecific interactions,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
foraging range,sub-population dependence on particular sites,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
biophysical traits,adult body mass/body size,100 mm body length,100mmbodylength,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
biophysical traits,flight,none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
biophysical traits,communication requirement (sound),none,none,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
biophysical traits,extreme pressure wave sensitive structures,yes,yes,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
biophysical traits,respiration structures,gills/filter feeding,gillsfilterfeeding,Peneaus (crustacea Decapoda),crustacea_arthropods,NA
movement,planktonic larval duration (pld),unknown,unknown,...7,crustacea_arthropods,NA
movement,planktonic larval duration (pld),unknown,unknown,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),fecundity,10-100,10100,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),lifetime # reproductive opportunities,4-6 broods,46broods,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5 years,15years,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),parental investment,egg care,eggcare,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes,yes,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),global population size,>100 k,>100k,Palaemon elegans,crustacea_arthropods,NA
physiological tolerance breadths,salinity,broad,broad,Palaemon elegans,crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,broad,broad,Palaemon elegans,crustacea_arthropods,NA
specialisation,within-stage dependent habitats + condition,"soft , rock pool, interntidal",softrockpoolinterntidal,Palaemon elegans,crustacea_arthropods,NA
specialisation,extreme diet specialization,no - broadly omniverous,nobroadlyomniverous,Palaemon elegans,crustacea_arthropods,NA
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,difficult to say - they may be dependent on th intertidal pools in summer and the offshore waters in winter.,difficulttosaytheymaybedependentonthintertidalpoolsinsummerandtheoffshorewatersinwinter,Palaemon elegans,crustacea_arthropods,NA
foraging range,"if one/few, size",unknown,unknown,Palaemon elegans,crustacea_arthropods,NA
foraging range,sub-population dependence on particular sites,unknown,unknown,Palaemon elegans,crustacea_arthropods,NA
spatial scale of species,eoo (range),100-5000?,1005000,Palaemon elegans,crustacea_arthropods,NA
biophysical traits,adult body mass/body size,4-6 cm,46cm,Palaemon elegans,crustacea_arthropods,NA
biophysical traits,calcium carbonate structure location,external and internal,externalandinternal,Palaemon elegans,crustacea_arthropods,NA
biophysical traits,biomineral,"aragonite, calcite and chitin",aragonitecalciteandchitin,Palaemon elegans,crustacea_arthropods,NA
r (reproductive traits),fecundity,unknown,unknown,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
r (reproductive traits),max age,1-5,15,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,high tolerance - dissolved oxygen low near hydrothermal vents,hightolerancedissolvedoxygenlownearhydrothermalvents,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
specialisation,within-stage dependent habitats + condition,"deep water, hydrothermal vents",deepwaterhydrothermalvents,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
specialisation,across-stage dependent habitats + condition,"deep water, hydrothermal vents",deepwaterhydrothermalvents,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
spatial scale of species,eoo (range),<99km2,<99km2,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
biophysical traits,calcium carbonate structure stages,both - unsure,bothunsure,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
biophysical traits,biomineral,"calcite, chitin/CaCO3",calcitechitincaco3,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes - night vision,yesnightvision,Hydrothermal Vent Crab (Bythograea thermydron),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5,15,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
r (reproductive traits),max age,1-5,15,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
r (reproductive traits),global population size,">1M - no population estimate, but I estimate this is the size",>1mnopopulationestimatebutiestimatethisisthesize,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,high tolerance - dissolved oxygen low near hydrothermal vents,hightolerancedissolvedoxygenlownearhydrothermalvents,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
specialisation,within-stage dependent habitats + condition,surface water? - during planktonic stage?,surfacewaterduringplanktonicstage,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
specialisation,across-stage dependent habitats + condition,"intertidal mud, mangrove, esturary",intertidalmudmangroveesturary,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
spatial scale of species,eoo (range),<99km2,<99km2,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
biophysical traits,calcium carbonate structure stages,both-unsure,bothunsure,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
biophysical traits,biomineral,"calcite, chitin/CaCO3",calcitechitincaco3,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes-light,yeslight,Giant Mud Crab (Scylla serrata),crustacea_arthropods,NA
movement,planktonic larval duration (pld),unknown,unknown,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5,15,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
r (reproductive traits),max age,1-5,15,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
r (reproductive traits),global population size,">1M - no population estimate, but I estimate this is the size",>1mnopopulationestimatebutiestimatethisisthesize,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
physiological tolerance breadths,dissolved oxygen,air breather,airbreather,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
specialisation,within-stage dependent habitats + condition,"estuary, mangrove, intertidal, beach",estuarymangroveintertidalbeach,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
specialisation,across-stage dependent habitats + condition,"estuary, mangrove, intertidal, beach",estuarymangroveintertidalbeach,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
spatial scale of species,eoo (range),<99km2,<99km2,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
biophysical traits,calcium carbonate structure stages,both-unsure,bothunsure,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
biophysical traits,biomineral,"calcite, chitin/CaCO3",calcitechitincaco3,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes-light,yeslight,Soldier Crabs (Mictyris platychelus),crustacea_arthropods,NA
movement,planktonic larval duration (pld),<3-4 months,<34months,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,5-10,510,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
r (reproductive traits),max age,20-100,20100,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
r (reproductive traits),parental investment,egg care,eggcare,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
r (reproductive traits),global population size,">1M - no population estimate, but I estimate this is the size",>1mnopopulationestimatebutiestimatethisisthesize,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
specialisation,within-stage dependent habitats + condition,kelp forest - hide for first year of life here,kelpforesthideforfirstyearoflifehere,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
specialisation,across-stage dependent habitats + condition,"intertidal mud, beach",intertidalmudbeach,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
spatial scale of species,eoo (range),<99km2,<99km2,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
biophysical traits,calcium carbonate structure stages,both-unsure,bothunsure,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
biophysical traits,biomineral,"calcite, chitin/CaCO3",calcitechitincaco3,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes-light,yeslight,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
biophysical traits,extreme pressure wave sensitive structures,low sensitvity,lowsensitvity,Red King Crab (Paralithodes camtschaticus),crustacea_arthropods,NA
movement,planktonic larval duration (pld),unknown,unknown,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
r (reproductive traits),age to 1st reproduction/generation time,1-5,15,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
r (reproductive traits),max age,1-5,15,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
r (reproductive traits),global population size,">1M - no population estimate, but I estimate this is the size",>1mnopopulationestimatebutiestimatethisisthesize,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
specialisation,dependent interspecific interactions,yes w/ coral,yeswcoral,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
spatial scale of species,eoo (range),<99km2,<99km2,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
biophysical traits,calcium carbonate structure stages,both-unsure,bothunsure,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
biophysical traits,biomineral,"calcite, chitin/CaCO3",calcitechitincaco3,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",yes-light,yeslight,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
biophysical traits,extreme pressure wave sensitive structures,low sensitvity,lowsensitvity,Yellow-Spotted Guard Crab (Trapezia flavopunctata),crustacea_arthropods,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Breviturma brevipes,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Breviturma brevipes,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Breviturma brevipes,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Breviturma brevipes,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Breviturma brevipes,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Breviturma brevipes,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Breviturma brevipes,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Breviturma dentata,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Breviturma dentata,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Breviturma dentata,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Breviturma dentata,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Breviturma dentata,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Breviturma dentata,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Breviturma dentata,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Breviturma doederleini,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Breviturma doederleini,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Breviturma doederleini,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Breviturma doederleini,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Breviturma doederleini,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Breviturma doederleini,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Breviturma doederleini,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Breviturma longispina,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Breviturma longispina,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Breviturma longispina,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Breviturma longispina,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Breviturma longispina,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Breviturma longispina,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Breviturma longispina,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Breviterma pica,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Breviterma pica,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Breviterma pica,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Breviterma pica,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Breviterma pica,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Breviterma pica,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Breviterma pica,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Breviterma pusilla,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Breviterma pusilla,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Breviterma pusilla,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Breviterma pusilla,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Breviterma pusilla,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Breviterma pusilla,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Breviterma pusilla,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocoma aethiops,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocoma aethiops,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocoma aethiops,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocoma aethiops,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocoma aethiops,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocoma aethiops,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocoma aethiops,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocoma echinata,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocoma echinata,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocoma echinata,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocoma echinata,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocoma echinata,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocoma echinata,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocoma echinata,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocoma erinaceus,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocoma erinaceus,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocoma erinaceus,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocoma erinaceus,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocoma erinaceus,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocoma erinaceus,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocoma erinaceus,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocoma scolopendrina,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocoma scolopendrina,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocoma scolopendrina,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocoma scolopendrina,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocoma scolopendrina,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocoma scolopendrina,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocoma scolopendrina,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocomella alexandri,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocomella alexandri,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocomella alexandri,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocomella alexandri,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocomella alexandri,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocomella alexandri,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocomella alexandri,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocomella ophiactoides,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocomella ophiactoides,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocomella ophiactoides,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocomella ophiactoides,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocomella ophiactoides,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocomella ophiactoides,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocomella ophiactoides,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiocomella pumila,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiocomella pumila,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiocomella pumila,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiocomella pumila,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiocomella pumila,echinoderms,NA
