spp_gp,stressor,taxon,sens_score,adcap_gen_score,adcap_spec_score
abdopus tonganus,oa,cephalopods,3.835,7.165,0.8350000000000001
abdopus tonganus,oceanographic,cephalopods,0.66,7.165,0
abdopus tonganus,organic_pollution,cephalopods,4.665,7.165,1.165
abdopus tonganus,plastic_pollution_microplastic,cephalopods,1.5,7.165,0.8350000000000001
abdopus tonganus,poisons_toxins,cephalopods,2.83,7.165,0.8350000000000001
abdopus tonganus,salinity,cephalopods,2.505,7.165,0.8350000000000001
abdopus tonganus,sedimentation,cephalopods,2.835,7.165,0.8350000000000001
abdopus tonganus,slr,cephalopods,0.33,7.165,1
abdopus tonganus,storm_disturbance,cephalopods,0.495,7.165,1.0050000000000001
abdopus tonganus,uv,cephalopods,0.165,7.165,0.335
abdopus tonganus,water_temp,cephalopods,4.17,7.165,0.33
abdopus tonganus,wildlife_strike,cephalopods,0.67,7.165,0.67
abdopus undulatus,air_temp,cephalopods,3.3400000000000003,7.33,1.34
abdopus undulatus,biomass_removal,cephalopods,1,7.33,0
abdopus undulatus,bycatch,cephalopods,1,7.33,0
abdopus undulatus,entanglement_macroplastic,cephalopods,0.33,7.33,0.67
abdopus undulatus,eutrophication_nutrient_pollution,cephalopods,5.67,7.33,1
abdopus undulatus,habitat_loss_degradation,cephalopods,2,7.33,1
abdopus undulatus,inorganic_pollution,cephalopods,6.68,7.33,1
abdopus undulatus,invasive_species,cephalopods,0,7.33,0.33
abdopus undulatus,light_pollution,cephalopods,0.33,7.33,1
abdopus undulatus,noise_pollution,cephalopods,1,7.33,0.67
abdopus undulatus,oa,cephalopods,4,7.33,1
abdopus undulatus,oceanographic,cephalopods,0.66,7.33,0
abdopus undulatus,organic_pollution,cephalopods,5,7.33,1.33
abdopus undulatus,plastic_pollution_microplastic,cephalopods,2,7.33,1
abdopus undulatus,poisons_toxins,cephalopods,3.33,7.33,1
abdopus undulatus,salinity,cephalopods,2.67,7.33,1
abdopus undulatus,sedimentation,cephalopods,3,7.33,1
abdopus undulatus,slr,cephalopods,0.33,7.33,1
abdopus undulatus,storm_disturbance,cephalopods,0.66,7.33,1.34
abdopus undulatus,uv,cephalopods,0.33,7.33,0.67
abdopus undulatus,water_temp,cephalopods,4.67,7.33,0.33
abdopus undulatus,wildlife_strike,cephalopods,0.67,7.33,0.67
abralia,air_temp,cephalopods,3.3400000000000003,8,1.67
abralia,biomass_removal,cephalopods,1,8,0
abralia,bycatch,cephalopods,0.33,8,0
abralia,entanglement_macroplastic,cephalopods,0,8,0.67
abralia,eutrophication_nutrient_pollution,cephalopods,5,8,1
abralia,habitat_loss_degradation,cephalopods,2,8,0.33
abralia,inorganic_pollution,cephalopods,6.01,8,0.66
abralia,invasive_species,cephalopods,0,8,0.33
abralia,light_pollution,cephalopods,0.33,8,0.67
abralia,noise_pollution,cephalopods,1,8,0.67
abralia,oa,cephalopods,4,8,1
abralia,oceanographic,cephalopods,0.33,8,1
abralia,organic_pollution,cephalopods,4,8,1
abralia,plastic_pollution_microplastic,cephalopods,2.34,8,1
abralia,poisons_toxins,cephalopods,3,8,1
abralia,salinity,cephalopods,3,8,1.33
abralia,sedimentation,cephalopods,2.67,8,1
abralia,slr,cephalopods,0.33,8,1
abralia,storm_disturbance,cephalopods,0.66,8,1.67
abralia,uv,cephalopods,0.33,8,1.67
abralia,water_temp,cephalopods,4.34,8,0.67
abralia,wildlife_strike,cephalopods,0,8,0.67
abraliopsis,air_temp,cephalopods,3.3400000000000003,8,1.67
abraliopsis,biomass_removal,cephalopods,1,8,0
abraliopsis,bycatch,cephalopods,0.33,8,0
abraliopsis,entanglement_macroplastic,cephalopods,0,8,0.67
abraliopsis,eutrophication_nutrient_pollution,cephalopods,5,8,1
abraliopsis,habitat_loss_degradation,cephalopods,2,8,0.33
abraliopsis,inorganic_pollution,cephalopods,6.01,8,0.66
abraliopsis,invasive_species,cephalopods,0,8,0.33
abraliopsis,light_pollution,cephalopods,0.33,8,0.67
abraliopsis,noise_pollution,cephalopods,1,8,0.67
abraliopsis,oa,cephalopods,4,8,1
abraliopsis,oceanographic,cephalopods,0.33,8,1
abraliopsis,organic_pollution,cephalopods,4,8,1
abraliopsis,plastic_pollution_microplastic,cephalopods,2.34,8,1
abraliopsis,poisons_toxins,cephalopods,3,8,1
abraliopsis,salinity,cephalopods,3,8,1.33
abraliopsis,sedimentation,cephalopods,2.67,8,1
abraliopsis,slr,cephalopods,0.33,8,1
abraliopsis,storm_disturbance,cephalopods,0.66,8,1.67
abraliopsis,uv,cephalopods,0.33,8,1.67
abraliopsis,water_temp,cephalopods,4.34,8,0.67
abraliopsis,wildlife_strike,cephalopods,0,8,0.67
acanthaster,air_temp,echinoderms,3.34,7.67,1.34
acanthaster,biomass_removal,echinoderms,1,7.67,0
acanthaster,bycatch,echinoderms,1,7.67,0
acanthaster,entanglement_macroplastic,echinoderms,0.33,7.67,0.67
acanthaster,eutrophication_nutrient_pollution,echinoderms,6,7.67,1.34
acanthaster,habitat_loss_degradation,echinoderms,2.33,7.67,1
acanthaster,inorganic_pollution,echinoderms,6.3500000000000005,7.67,1.34
acanthaster,invasive_species,echinoderms,0,7.67,0.33
acanthaster,light_pollution,echinoderms,0.33,7.67,1
acanthaster,noise_pollution,echinoderms,0,7.67,0.67
acanthaster,oa,echinoderms,4,7.67,1.34
acanthaster,oceanographic,echinoderms,0.66,7.67,0
acanthaster,organic_pollution,echinoderms,3.67,7.67,1.67
acanthaster,plastic_pollution_microplastic,echinoderms,1.33,7.67,1.34
acanthaster,poisons_toxins,echinoderms,3,7.67,1.34
acanthaster,salinity,echinoderms,2.67,7.67,1.34
acanthaster,sedimentation,echinoderms,3,7.67,1.34
acanthaster,slr,echinoderms,0.33,7.67,1
acanthaster,storm_disturbance,echinoderms,1.6600000000000001,7.67,1.34
acanthaster,uv,echinoderms,0.33,7.67,0.67
acanthaster,water_temp,echinoderms,5,7.67,0.33
acanthaster,wildlife_strike,echinoderms,0.67,7.67,0.67
acanthochromis polyacanthus,air_temp,fish,2.67,9.66,0.67
acanthochromis polyacanthus,biomass_removal,fish,1,9.66,0
acanthochromis polyacanthus,bycatch,fish,1,9.66,0
acanthochromis polyacanthus,entanglement_macroplastic,fish,0.33,9.66,1
acanthochromis polyacanthus,eutrophication_nutrient_pollution,fish,4,9.66,0.67
acanthochromis polyacanthus,habitat_loss_degradation,fish,2,9.66,0
acanthochromis polyacanthus,inorganic_pollution,fish,6.01,9.66,0.67
acanthochromis polyacanthus,invasive_species,fish,0,9.66,0
acanthochromis polyacanthus,light_pollution,fish,0.33,9.66,0
acanthochromis polyacanthus,noise_pollution,fish,0,9.66,0
acanthochromis polyacanthus,oa,fish,3.33,9.66,0.67
acanthochromis polyacanthus,oceanographic,fish,0.33,9.66,0
acanthochromis polyacanthus,organic_pollution,fish,4,9.66,0.67
acanthochromis polyacanthus,plastic_pollution_microplastic,fish,2,9.66,0.67
acanthochromis polyacanthus,poisons_toxins,fish,2.33,9.66,0.67
acanthochromis polyacanthus,salinity,fish,3,9.66,0.67
acanthochromis polyacanthus,sedimentation,fish,2.33,9.66,0.67
acanthochromis polyacanthus,slr,fish,0.33,9.66,0
acanthochromis polyacanthus,storm_disturbance,fish,0.66,9.66,0.67
acanthochromis polyacanthus,uv,fish,0.33,9.66,0.67
acanthochromis polyacanthus,water_temp,fish,3.67,9.66,0
acanthochromis polyacanthus,wildlife_strike,fish,0.67,9.66,0
acanthurus dussumieri,air_temp,fish,2.67,9,1.34
acanthurus dussumieri,biomass_removal,fish,1,9,0
acanthurus dussumieri,bycatch,fish,1,9,0
acanthurus dussumieri,entanglement_macroplastic,fish,0.33,9,0.67
acanthurus dussumieri,eutrophication_nutrient_pollution,fish,4,9,1
acanthurus dussumieri,habitat_loss_degradation,fish,2,9,1
acanthurus dussumieri,inorganic_pollution,fish,6.67,9,1
acanthurus dussumieri,invasive_species,fish,0,9,0.33
acanthurus dussumieri,light_pollution,fish,0.33,9,1
acanthurus dussumieri,noise_pollution,fish,1.67,9,0.67
acanthurus dussumieri,oa,fish,3.66,9,1
acanthurus dussumieri,oceanographic,fish,0.33,9,0
acanthurus dussumieri,organic_pollution,fish,4.33,9,1.33
acanthurus dussumieri,plastic_pollution_microplastic,fish,2,9,1
acanthurus dussumieri,poisons_toxins,fish,2.33,9,1
acanthurus dussumieri,salinity,fish,3,9,1
acanthurus dussumieri,sedimentation,fish,2.33,9,1
acanthurus dussumieri,slr,fish,0.33,9,1
acanthurus dussumieri,storm_disturbance,fish,0.99,9,1.34
acanthurus dussumieri,uv,fish,0.33,9,0.67
acanthurus dussumieri,water_temp,fish,3.67,9,0.33
acanthurus dussumieri,wildlife_strike,fish,0.67,9,0.67
acesta excavata,air_temp,molluscs,2.845,7,0.67
acesta excavata,biomass_removal,molluscs,1,7,0
acesta excavata,bycatch,molluscs,1,7,0
acesta excavata,entanglement_macroplastic,molluscs,0.33,7,1
acesta excavata,eutrophication_nutrient_pollution,molluscs,6.165,7,0.67
acesta excavata,habitat_loss_degradation,molluscs,2,7,0
acesta excavata,inorganic_pollution,molluscs,7.515000000000001,7,0.67
acesta excavata,invasive_species,molluscs,0,7,0
acesta excavata,light_pollution,molluscs,0.33,7,0
acesta excavata,noise_pollution,molluscs,0,7,0
acesta excavata,oa,molluscs,4.67,7,0.67
acesta excavata,oceanographic,molluscs,0.33,7,0
acesta excavata,organic_pollution,molluscs,5.34,7,0.67
acesta excavata,plastic_pollution_microplastic,molluscs,3,7,0.67
acesta excavata,poisons_toxins,molluscs,4,7,0.67
acesta excavata,salinity,molluscs,2.835,7,0.67
acesta excavata,sedimentation,molluscs,3.66,7,0.67
acesta excavata,slr,molluscs,0.33,7,0
acesta excavata,storm_disturbance,molluscs,0.66,7,0.67
acesta excavata,uv,molluscs,0.33,7,0.67
acesta excavata,water_temp,molluscs,3.845,7,0
acesta excavata,wildlife_strike,molluscs,0.67,7,0
acrochordus,air_temp,reptiles,2,5.66,0.67
acrochordus,biomass_removal,reptiles,1,5.66,0
acrochordus,bycatch,reptiles,1.67,5.66,0
acrochordus,entanglement_macroplastic,reptiles,1.33,5.66,0.67
acrochordus,eutrophication_nutrient_pollution,reptiles,1,5.66,0.67
acrochordus,habitat_loss_degradation,reptiles,3,5.66,1
acrochordus,inorganic_pollution,reptiles,3.33,5.66,0.67
acrochordus,invasive_species,reptiles,1,5.66,0.33
acrochordus,light_pollution,reptiles,0.67,5.66,1
acrochordus,noise_pollution,reptiles,0,5.66,0.67
acrochordus,oa,reptiles,0.33,5.66,0.67
acrochordus,oceanographic,reptiles,0,5.66,0
acrochordus,organic_pollution,reptiles,3,5.66,1
acrochordus,plastic_pollution_microplastic,reptiles,0.33,5.66,0.67
acrochordus,poisons_toxins,reptiles,0.33,5.66,0.67
acrochordus,salinity,reptiles,0,5.66,0.67
acrochordus,sedimentation,reptiles,1.67,5.66,0.67
acrochordus,slr,reptiles,2,5.66,1
acrochordus,storm_disturbance,reptiles,1.6600000000000001,5.66,0.67
acrochordus,uv,reptiles,0,5.66,0
acrochordus,water_temp,reptiles,1.33,5.66,0.33
acrochordus,wildlife_strike,reptiles,2.67,5.66,0.67
acromycter perturbator,air_temp,fish,2.68,5.33,0.67
acromycter perturbator,biomass_removal,fish,1,5.33,0
acromycter perturbator,bycatch,fish,1,5.33,0
acromycter perturbator,entanglement_macroplastic,fish,0.33,5.33,0.67
acromycter perturbator,eutrophication_nutrient_pollution,fish,4.67,5.33,0.67
acromycter perturbator,habitat_loss_degradation,fish,2,5.33,1
acromycter perturbator,inorganic_pollution,fish,6.0200000000000005,5.33,0.67
acromycter perturbator,invasive_species,fish,0,5.33,0.33
acromycter perturbator,light_pollution,fish,0.33,5.33,1
acromycter perturbator,noise_pollution,fish,0,5.33,0.67
acromycter perturbator,oa,fish,3.33,5.33,0.67
acromycter perturbator,oceanographic,fish,0.33,5.33,0
acromycter perturbator,organic_pollution,fish,4.34,5.33,1
acromycter perturbator,plastic_pollution_microplastic,fish,2,5.33,0.67
acromycter perturbator,poisons_toxins,fish,3,5.33,0.67
acromycter perturbator,salinity,fish,2.67,5.33,0.67
acromycter perturbator,sedimentation,fish,2.66,5.33,0.67
acromycter perturbator,slr,fish,0.33,5.33,1
acromycter perturbator,storm_disturbance,fish,0.66,5.33,0.67
acromycter perturbator,uv,fish,0.33,5.33,0
acromycter perturbator,water_temp,fish,3.68,5.33,0.33
acromycter perturbator,wildlife_strike,fish,0.67,5.33,0.67
acropora,air_temp,corals,3.3400000000000003,8.34,0.665
acropora,biomass_removal,corals,1,8.34,0
acropora,bycatch,corals,0.33,8.34,0
acropora,entanglement_macroplastic,corals,0,8.34,1
acropora,eutrophication_nutrient_pollution,corals,6.34,8.34,0.665
acropora,habitat_loss_degradation,corals,3,8.34,0
acropora,inorganic_pollution,corals,6.01,8.34,0.665
acropora,invasive_species,corals,0,8.34,0
acropora,light_pollution,corals,0.33,8.34,0
acropora,noise_pollution,corals,0,8.34,0
acropora,oa,corals,4.33,8.34,0.665
acropora,oceanographic,corals,0.66,8.34,0
acropora,organic_pollution,corals,4,8.34,0.665
acropora,plastic_pollution_microplastic,corals,0.67,8.34,0.5
acropora,poisons_toxins,corals,2,8.34,0.665
acropora,salinity,corals,3.67,8.34,0.665
acropora,sedimentation,corals,2.34,8.34,0.665
acropora,slr,corals,1.33,8.34,0
acropora,storm_disturbance,corals,0.99,8.34,0.665
acropora,uv,corals,1.33,8.34,0.665
acropora,water_temp,corals,4.67,8.34,0
acropora,wildlife_strike,corals,0,8.34,0
actinopyga echinites,air_temp,echinoderms,4,5.67,1.34
actinopyga echinites,biomass_removal,echinoderms,1,5.67,0
actinopyga echinites,bycatch,echinoderms,1,5.67,0
actinopyga echinites,entanglement_macroplastic,echinoderms,0.33,5.67,0.67
actinopyga echinites,eutrophication_nutrient_pollution,echinoderms,6.33,5.67,1.34
actinopyga echinites,habitat_loss_degradation,echinoderms,2.33,5.67,1
actinopyga echinites,inorganic_pollution,echinoderms,7.68,5.67,1.34
actinopyga echinites,invasive_species,echinoderms,0,5.67,0.33
actinopyga echinites,light_pollution,echinoderms,0.33,5.67,1
actinopyga echinites,noise_pollution,echinoderms,0,5.67,0.67
actinopyga echinites,oa,echinoderms,4.67,5.67,1.34
actinopyga echinites,oceanographic,echinoderms,0.66,5.67,0
actinopyga echinites,organic_pollution,echinoderms,4.67,5.67,1.67
actinopyga echinites,plastic_pollution_microplastic,echinoderms,1.33,5.67,1.34
actinopyga echinites,poisons_toxins,echinoderms,3,5.67,1.34
actinopyga echinites,salinity,echinoderms,3,5.67,1.34
actinopyga echinites,sedimentation,echinoderms,3,5.67,1.34
actinopyga echinites,slr,echinoderms,0.33,5.67,1
actinopyga echinites,storm_disturbance,echinoderms,1.6600000000000001,5.67,1.34
actinopyga echinites,uv,echinoderms,0.33,5.67,0.67
actinopyga echinites,water_temp,echinoderms,5.66,5.67,0.33
actinopyga echinites,wildlife_strike,echinoderms,0.67,5.67,0.67
adamussium colbecki,air_temp,molluscs,3.175,7.67,0.67
adamussium colbecki,biomass_removal,molluscs,1,7.67,0
adamussium colbecki,bycatch,molluscs,1,7.67,0
adamussium colbecki,entanglement_macroplastic,molluscs,0.33,7.67,1
adamussium colbecki,eutrophication_nutrient_pollution,molluscs,6.165,7.67,0.67
adamussium colbecki,habitat_loss_degradation,molluscs,2,7.67,0
adamussium colbecki,inorganic_pollution,molluscs,7.175,7.67,0.67
adamussium colbecki,invasive_species,molluscs,0,7.67,0
adamussium colbecki,light_pollution,molluscs,0.33,7.67,0
adamussium colbecki,noise_pollution,molluscs,0,7.67,0
adamussium colbecki,oa,molluscs,4.67,7.67,0.67
adamussium colbecki,oceanographic,molluscs,0.33,7.67,0
adamussium colbecki,organic_pollution,molluscs,5,7.67,0.67
adamussium colbecki,plastic_pollution_microplastic,molluscs,3,7.67,0.67
adamussium colbecki,poisons_toxins,molluscs,4,7.67,0.67
adamussium colbecki,salinity,molluscs,2.835,7.67,0.67
adamussium colbecki,sedimentation,molluscs,3.66,7.67,0.67
adamussium colbecki,slr,molluscs,0.33,7.67,0
adamussium colbecki,storm_disturbance,molluscs,0.66,7.67,0.67
adamussium colbecki,uv,molluscs,0.33,7.67,0.67
adamussium colbecki,water_temp,molluscs,4.175,7.67,0
adamussium colbecki,wildlife_strike,molluscs,0.67,7.67,0
adelieledone adelieana,air_temp,cephalopods,4.01,6.34,0.67
adelieledone adelieana,biomass_removal,cephalopods,1,6.34,0
adelieledone adelieana,bycatch,cephalopods,1,6.34,0
adelieledone adelieana,entanglement_macroplastic,cephalopods,0.33,6.34,0.67
adelieledone adelieana,eutrophication_nutrient_pollution,cephalopods,5.34,6.34,0.67
adelieledone adelieana,habitat_loss_degradation,cephalopods,2,6.34,1
adelieledone adelieana,inorganic_pollution,cephalopods,6.01,6.34,0.67
adelieledone adelieana,invasive_species,cephalopods,0,6.34,0.33
adelieledone adelieana,light_pollution,cephalopods,0,6.34,1
adelieledone adelieana,noise_pollution,cephalopods,1,6.34,0.67
adelieledone adelieana,oa,cephalopods,3.67,6.34,0.67
adelieledone adelieana,oceanographic,cephalopods,0.66,6.34,0
adelieledone adelieana,organic_pollution,cephalopods,3.66,6.34,1
adelieledone adelieana,plastic_pollution_microplastic,cephalopods,1,6.34,0.67
adelieledone adelieana,poisons_toxins,cephalopods,2.33,6.34,0.67
adelieledone adelieana,salinity,cephalopods,2.34,6.34,0.67
adelieledone adelieana,sedimentation,cephalopods,2.67,6.34,0.67
adelieledone adelieana,slr,cephalopods,0.33,6.34,1
adelieledone adelieana,storm_disturbance,cephalopods,0.33,6.34,0.67
adelieledone adelieana,uv,cephalopods,0,6.34,0
adelieledone adelieana,water_temp,cephalopods,4.34,6.34,0.33
adelieledone adelieana,wildlife_strike,cephalopods,0.67,6.34,0.67
adelieledone piatkowski,air_temp,cephalopods,4.01,6.34,0.67
adelieledone piatkowski,biomass_removal,cephalopods,1,6.34,0
adelieledone piatkowski,bycatch,cephalopods,1,6.34,0
adelieledone piatkowski,entanglement_macroplastic,cephalopods,0.33,6.34,0.67
adelieledone piatkowski,eutrophication_nutrient_pollution,cephalopods,5.34,6.34,0.67
adelieledone piatkowski,habitat_loss_degradation,cephalopods,2,6.34,1
adelieledone piatkowski,inorganic_pollution,cephalopods,6.01,6.34,0.67
adelieledone piatkowski,invasive_species,cephalopods,0,6.34,0.33
adelieledone piatkowski,light_pollution,cephalopods,0,6.34,1
adelieledone piatkowski,noise_pollution,cephalopods,1,6.34,0.67
adelieledone piatkowski,oa,cephalopods,3.67,6.34,0.67
adelieledone piatkowski,oceanographic,cephalopods,0.66,6.34,0
adelieledone piatkowski,organic_pollution,cephalopods,3.66,6.34,1
adelieledone piatkowski,plastic_pollution_microplastic,cephalopods,1,6.34,0.67
adelieledone piatkowski,poisons_toxins,cephalopods,2.33,6.34,0.67
adelieledone piatkowski,salinity,cephalopods,2.34,6.34,0.67
adelieledone piatkowski,sedimentation,cephalopods,2.67,6.34,0.67
adelieledone piatkowski,slr,cephalopods,0.33,6.34,1
adelieledone piatkowski,storm_disturbance,cephalopods,0.33,6.34,0.67
adelieledone piatkowski,uv,cephalopods,0,6.34,0
adelieledone piatkowski,water_temp,cephalopods,4.34,6.34,0.33
adelieledone piatkowski,wildlife_strike,cephalopods,0.67,6.34,0.67
aeolidia papillosa,air_temp,molluscs,2,7,0.67
aeolidia papillosa,biomass_removal,molluscs,1,7,0
aeolidia papillosa,bycatch,molluscs,0.67,7,0
aeolidia papillosa,entanglement_macroplastic,molluscs,0.33,7,0.67
aeolidia papillosa,eutrophication_nutrient_pollution,molluscs,5.33,7,0.67
aeolidia papillosa,habitat_loss_degradation,molluscs,2,7,1
